sub_num,session,trial_order,trial_number,frame_count_start,frame_count_end,filename
CAT_202,2,order2A,24,6180,6323,CAT_202_session2
CAT_202,2,order2A,26,6627,6769,CAT_202_session2
CAT_202,2,order2A,27,6851,6993,CAT_202_session2
CAT_202,2,order2A,28,7076,7219,CAT_202_session2
CAT_202,2,order2A,29,7301,7443,CAT_202_session2
CAT_203,1,order2B,1,279,353,CAT_203_session1
CAT_203,1,order2B,2,395,469,CAT_203_session1
CAT_203,1,order2B,3,511,586,CAT_203_session1
CAT_203,1,order2B,4,629,704,CAT_203_session1
CAT_203,1,order2B,6,863,938,CAT_203_session1
CAT_203,1,order2B,7,980,1055,CAT_203_session1
CAT_203,1,order2B,9,1214,1289,CAT_203_session1
CAT_203,1,order2B,11,1447,1522,CAT_203_session1
CAT_203,1,order2B,12,1564,1639,CAT_203_session1
CAT_203,1,order2B,13,1682,1756,CAT_203_session1
CAT_203,1,order2B,14,1799,1874,CAT_203_session1
CAT_203,1,order2B,16,2032,2107,CAT_203_session1
CAT_203,1,order2B,17,2150,2225,CAT_203_session1
CAT_203,1,order2B,18,2267,2342,CAT_203_session1
CAT_203,1,order2B,19,2384,2458,CAT_203_session1
CAT_203,1,order2B,21,2618,2693,CAT_203_session1
CAT_203,1,order2B,22,2736,2811,CAT_203_session1
CAT_203,1,order2B,23,2852,2927,CAT_203_session1
CAT_203,1,order2B,24,2970,3045,CAT_203_session1
CAT_203,1,order2B,26,3203,3278,CAT_203_session1
CAT_203,1,order2B,28,3436,3511,CAT_203_session1
CAT_203,2,order2A,1,287,363,CAT_203_session2
CAT_203,2,order2A,2,406,481,CAT_203_session2
CAT_203,2,order2A,3,523,598,CAT_203_session2
CAT_203,2,order2A,4,640,715,CAT_203_session2
CAT_203,2,order2A,6,874,949,CAT_203_session2
CAT_203,2,order2A,7,991,1066,CAT_203_session2
CAT_203,2,order2A,8,1108,1182,CAT_203_session2
CAT_203,2,order2A,9,1225,1298,CAT_203_session2
CAT_203,2,order2A,11,1456,1531,CAT_203_session2
CAT_203,2,order2A,12,1574,1648,CAT_203_session2
CAT_203,2,order2A,14,1775,1849,CAT_203_session2
CAT_203,2,order2A,17,2089,2164,CAT_203_session2
CAT_203,2,order2A,18,2207,2281,CAT_203_session2
CAT_203,2,order2A,22,2726,2802,CAT_203_session2
CAT_203,2,order2A,23,2845,2922,CAT_203_session2
CAT_203,2,order2A,24,2966,3043,CAT_203_session2
CAT_203,2,order2A,26,3205,3281,CAT_203_session2
CAT_203,2,order2A,27,3323,3399,CAT_203_session2
CAT_203,2,order2A,28,3442,3495,CAT_203_session2
CAT_203,2,order2A,29,3509,3586,CAT_203_session2
CAT_204,1,order2A,1,688,831,CAT_204_session1
CAT_204,1,order2A,2,909,1052,CAT_204_session1
CAT_204,1,order2A,3,1130,1273,CAT_204_session1
CAT_204,1,order2A,4,1351,1494,CAT_204_session1
CAT_204,1,order2A,6,1792,1935,CAT_204_session1
CAT_204,1,order2A,7,2012,2155,CAT_204_session1
CAT_204,1,order2A,8,2233,2376,CAT_204_session1
CAT_204,1,order2A,9,2454,2597,CAT_204_session1
CAT_204,1,order2A,11,2897,3040,CAT_204_session1
CAT_204,1,order2A,12,3118,3261,CAT_204_session1
CAT_204,1,order2A,13,3339,3481,CAT_204_session1
CAT_204,1,order2A,14,3559,3702,CAT_204_session1
CAT_204,1,order2A,16,4001,4144,CAT_204_session1
CAT_204,1,order2A,17,4222,4306,CAT_204_session1
CAT_204,1,order2A,18,4327,4465,CAT_204_session1
CAT_204,1,order2A,19,4541,4684,CAT_204_session1
CAT_204,1,order2A,21,4983,5126,CAT_204_session1
CAT_204,1,order2A,22,5203,5346,CAT_204_session1
CAT_204,1,order2A,23,5424,5567,CAT_204_session1
CAT_204,1,order2A,24,5646,5789,CAT_204_session1
CAT_204,1,order2A,26,6088,6231,CAT_204_session1
CAT_204,1,order2A,27,6309,6452,CAT_204_session1
CAT_204,1,order2A,28,6529,6672,CAT_204_session1
CAT_204,1,order2A,29,6751,6894,CAT_204_session1
CAT_204,2,order2B,1,478,572,CAT_204_session2
CAT_204,2,order2B,2,625,719,CAT_204_session2
CAT_204,2,order2B,3,772,866,CAT_204_session2
CAT_204,2,order2B,4,919,1013,CAT_204_session2
CAT_204,2,order2B,6,1212,1306,CAT_204_session2
CAT_204,2,order2B,7,1359,1453,CAT_204_session2
CAT_204,2,order2B,8,1504,1599,CAT_204_session2
CAT_204,2,order2B,9,1652,1746,CAT_204_session2
CAT_204,2,order2B,11,1945,2039,CAT_204_session2
CAT_204,2,order2B,12,2091,2185,CAT_204_session2
CAT_204,2,order2B,13,2238,2332,CAT_204_session2
CAT_204,2,order2B,14,2384,2479,CAT_204_session2
CAT_204,2,order2B,16,2678,2772,CAT_204_session2
CAT_204,2,order2B,17,2825,2919,CAT_204_session2
CAT_204,2,order2B,18,2971,3065,CAT_204_session2
CAT_204,2,order2B,19,3117,3211,CAT_204_session2
CAT_204,2,order2B,21,3410,3504,CAT_204_session2
CAT_204,2,order2B,22,3556,3650,CAT_204_session2
CAT_204,2,order2B,23,3703,3797,CAT_204_session2
CAT_204,2,order2B,24,3850,3944,CAT_204_session2
CAT_204,2,order2B,26,4142,4236,CAT_204_session2
CAT_204,2,order2B,27,4289,4383,CAT_204_session2
CAT_204,2,order2B,28,4434,4529,CAT_204_session2
CAT_204,2,order2B,29,4581,4676,CAT_204_session2
CAT_205,1,order2B,1,484,625,CAT_205_session1
CAT_205,2,order2A,1,610,749,CAT_205_session2
CAT_205,2,order2A,2,827,966,CAT_205_session2
CAT_205,2,order2A,3,1044,1184,CAT_205_session2
CAT_205,2,order2A,4,1261,1401,CAT_205_session2
CAT_205,2,order2A,7,1894,2034,CAT_205_session2
CAT_205,2,order2A,8,2111,2251,CAT_205_session2
CAT_205,2,order2A,9,2328,2467,CAT_205_session2
CAT_205,2,order2A,11,2761,2900,CAT_205_session2
CAT_205,2,order2A,12,2978,3117,CAT_205_session2
