sub_num,id,typical,experience,experience_open,typical_num,image_name,plural_category,name,pets,books_animals,typical_num_z,typical_by_category_z
CAT_202,4,neither typical nor atypical,Yes,Aunts house,3,bassethound_600x600,dogs,bassethound,"1 short hair black cat

","Noisy baby animals- tiger tales
Alphaprints - priddy books
Baby animals - baby einstein
First 100 words - bright baby
The animal pokey - storytime rhymes
Animal story book collection - disney",0.530799444410508,1.7928429140015905
CAT_202,5,very atypical,Yes,Friends house,1,beagle_600x600,dogs,beagle,"1 short hair black cat

","Noisy baby animals- tiger tales
Alphaprints - priddy books
Baby animals - baby einstein
First 100 words - bright baby
The animal pokey - storytime rhymes
Animal story book collection - disney",-0.9679283986309261,-0.5976143046671968
CAT_202,6,somewhat atypical,Yes,Pet stores and meijers,2,betafish_600x600,fish,betafish,"1 short hair black cat

","Noisy baby animals- tiger tales
Alphaprints - priddy books
Baby animals - baby einstein
First 100 words - bright baby
The animal pokey - storytime rhymes
Animal story book collection - disney",-0.21856447711020902,-0.7128324356402513
CAT_202,7,somewhat atypical,Yes,"The zoo
The aquatic Center 
Pet stores 
Books",2,bluegill_600x600,fish,bluegill,"1 short hair black cat

","Noisy baby animals- tiger tales
Alphaprints - priddy books
Baby animals - baby einstein
First 100 words - bright baby
The animal pokey - storytime rhymes
Animal story book collection - disney",-0.21856447711020902,-0.7128324356402513
CAT_202,8,very typical,Yes,Back yard front yard,5,cardinal_600x600,birds,cardinal,"1 short hair black cat

","Noisy baby animals- tiger tales
Alphaprints - priddy books
Baby animals - baby einstein
First 100 words - bright baby
The animal pokey - storytime rhymes
Animal story book collection - disney",2.029527287451942,1.6301020533704371
CAT_202,9,very typical,Yes,"At our home 
Family and friends home
The dairy farm we visit
",5,chartreux_600x600,cats,chartreux,"1 short hair black cat

","Noisy baby animals- tiger tales
Alphaprints - priddy books
Baby animals - baby einstein
First 100 words - bright baby
The animal pokey - storytime rhymes
Animal story book collection - disney",2.029527287451942,1.7928429140015905
CAT_202,10,very typical,Yes,Atvthe zoo pet stores books and movies,5,clownfish_600x600,fish,clownfish,"1 short hair black cat

","Noisy baby animals- tiger tales
Alphaprints - priddy books
Baby animals - baby einstein
First 100 words - bright baby
The animal pokey - storytime rhymes
Animal story book collection - disney",2.029527287451942,1.8533643326646532
CAT_202,11,neither typical nor atypical,Yes,We have a black cat,3,cornishrex_600x600,cats,cornishrex,"1 short hair black cat

","Noisy baby animals- tiger tales
Alphaprints - priddy books
Baby animals - baby einstein
First 100 words - bright baby
The animal pokey - storytime rhymes
Animal story book collection - disney",0.530799444410508,0.5976143046671968
CAT_202,12,very atypical,Yes,Friends house books and movies,1,germanshepherd_600x600,dogs,germanshepherd,"1 short hair black cat

","Noisy baby animals- tiger tales
Alphaprints - priddy books
Baby animals - baby einstein
First 100 words - bright baby
The animal pokey - storytime rhymes
Animal story book collection - disney",-0.9679283986309261,-0.5976143046671968
CAT_202,13,very atypical,Yes,Our neighbor has a dog like this we see and hear him all day everyday,1,goldenretriever_600x600,dogs,goldenretriever,"1 short hair black cat

","Noisy baby animals- tiger tales
Alphaprints - priddy books
Baby animals - baby einstein
First 100 words - bright baby
The animal pokey - storytime rhymes
Animal story book collection - disney",-0.9679283986309261,-0.5976143046671968
CAT_202,14,somewhat atypical,Yes,The zoo,2,heron_600x600,birds,heron,"1 short hair black cat

","Noisy baby animals- tiger tales
Alphaprints - priddy books
Baby animals - baby einstein
First 100 words - bright baby
The animal pokey - storytime rhymes
Animal story book collection - disney",-0.21856447711020902,-0.626962328219399
