sub_num,id,typical,experience,experience_open,typical_num,image_name,plural_category,name,pets,books_animals,typical_num_z,typical_by_category_z
CAT_203,21,very typical,Yes,"Books, TV",5,sparrow_600x600,birds,sparrow,None,"Baby Animals board book with textures for fur, Hungry Caterpillar, Mixed Up Chameleon",1.0847772620941563,0.7613869876268811
CAT_203,22,very atypical,No,NA,1,sphynx_600x600,cats,sphynx,None,"Baby Animals board book with textures for fur, Hungry Caterpillar, Mixed Up Chameleon",-1.1309379966513549,-0.8981462390204988
CAT_203,23,very atypical,No,NA,1,sturgeon_600x600,fish,sturgeon,None,"Baby Animals board book with textures for fur, Hungry Caterpillar, Mixed Up Chameleon",-1.1309379966513549,-1.0644053746097526
CAT_203,24,very typical,Yes,"Books, TV",5,tabby_600x600,cats,tabby,None,"Baby Animals board book with textures for fur, Hungry Caterpillar, Mixed Up Chameleon",1.0847772620941563,1.061445555206044
CAT_210,1,very atypical,No,NA,1,afghanhound_600x600,dogs,afghanhound,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,-0.4082482904638629
CAT_210,2,very atypical,No,NA,1,arabianmau_600x600,cats,arabianmau,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,-0.4082482904638631
CAT_210,3,somewhat atypical,No,NA,2,bass_600x600,fish,bass,0,5 miunte classic tales muliple stories in the book,1.0173494974687902,2.0412414523193148
CAT_210,4,very atypical,No,NA,1,bassethound_600x600,dogs,bassethound,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,-0.4082482904638629
CAT_210,5,very atypical,No,NA,1,beagle_600x600,dogs,beagle,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,-0.4082482904638629
CAT_210,6,very atypical,No,NA,1,betafish_600x600,fish,betafish,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,-0.4082482904638632
CAT_210,7,very atypical,No,NA,1,bluegill_600x600,fish,bluegill,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,-0.4082482904638632
CAT_210,8,very atypical,No,NA,1,cardinal_600x600,birds,cardinal,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,NA
CAT_210,9,very atypical,No,NA,1,chartreux_600x600,cats,chartreux,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,-0.4082482904638631
CAT_210,10,very atypical,No,NA,1,clownfish_600x600,fish,clownfish,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,-0.4082482904638632
CAT_210,11,somewhat typical,Yes,yes relative has cat,4,cornishrex_600x600,cats,cornishrex,0,5 miunte classic tales muliple stories in the book,3.7302814907188977,2.041241452319315
CAT_210,12,very atypical,No,NA,1,germanshepherd_600x600,dogs,germanshepherd,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,-0.4082482904638629
CAT_210,13,neither typical nor atypical,No,NA,3,goldenretriever_600x600,dogs,goldenretriever,0,5 miunte classic tales muliple stories in the book,2.373815494093844,2.041241452319315
CAT_210,14,very atypical,No,NA,1,heron_600x600,birds,heron,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,NA
CAT_210,15,very atypical,No,NA,1,kingfisher_600x600,birds,kingfisher,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,NA
CAT_210,16,very atypical,No,NA,1,kookaburra_600x600,birds,kookaburra,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,NA
CAT_210,17,very atypical,No,NA,1,lionfish_600x600,fish,lionfish,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,-0.4082482904638632
CAT_210,18,very atypical,No,NA,1,oriental_600x600,cats,oriental,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,-0.4082482904638631
CAT_210,19,very atypical,No,NA,1,robin_600x600,birds,robin,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,NA
CAT_210,20,very atypical,No,NA,1,sheepdog_600x600,dogs,sheepdog,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,-0.4082482904638629
CAT_210,21,very atypical,No,NA,1,sparrow_600x600,birds,sparrow,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,NA
CAT_210,22,very atypical,No,NA,1,sphynx_600x600,cats,sphynx,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,-0.4082482904638631
CAT_210,23,very atypical,No,NA,1,sturgeon_600x600,fish,sturgeon,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,-0.4082482904638632
CAT_210,24,very atypical,No,NA,1,tabby_600x600,cats,tabby,0,5 miunte classic tales muliple stories in the book,-0.3391164991562634,-0.4082482904638631
CAT_206,1,very atypical,No,NA,1,afghanhound_600x600,dogs,afghanhound,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",-1.0972966003136202,-1.061445555206044
CAT_206,2,somewhat atypical,Yes,A few family members have a cat that he sees occasionally.,2,arabianmau_600x600,cats,arabianmau,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",-0.4702699715629801,-0.48382062482261484
CAT_206,3,somewhat typical,Yes,fish in books or at the aquarium,4,bass_600x600,fish,bass,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",0.7837832859383003,1.2455047375590553
CAT_206,4,somewhat atypical,No,NA,2,bassethound_600x600,dogs,bassethound,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",-0.4702699715629801,-0.5715476066494083
CAT_206,5,very typical,Yes,"dogs in the neighborhood
",5,beagle_600x600,dogs,beagle,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",1.4108099146889403,0.8981462390204988
CAT_206,6,very atypical,No,NA,1,betafish_600x600,fish,betafish,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",-1.0972966003136202,-0.7925939239012169
CAT_206,7,somewhat typical,Yes,fish in books or at the Aquarium,4,bluegill_600x600,fish,bluegill,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",0.7837832859383003,1.2455047375590553
CAT_206,8,somewhat typical,Yes,birds in books or at the zoo,4,cardinal_600x600,birds,cardinal,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",0.7837832859383003,0.8777472595071584
CAT_206,9,somewhat typical,Yes,"cats in books, tv, and the neighborhood",4,chartreux_600x600,cats,chartreux,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",0.7837832859383003,0.6773488747516605
CAT_206,10,somewhat atypical,Yes,"books, tv, aquarium",2,clownfish_600x600,fish,clownfish,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",-0.4702699715629801,-0.11322770341445947
CAT_206,11,very atypical,No,NA,1,cornishrex_600x600,cats,cornishrex,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",-1.0972966003136202,-1.0644053746097526
CAT_206,12,very typical,Yes,we used to have this type of dog. Relatives have this type of dog that he sees frequently.,5,germanshepherd_600x600,dogs,germanshepherd,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",1.4108099146889403,0.8981462390204988
CAT_206,13,very typical,Yes,Almost all of our extended family members have at least one dog. We are around them a lot. He also sees dogs being walked in our neighborhood.,5,goldenretriever_600x600,dogs,goldenretriever,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",1.4108099146889403,0.8981462390204988
CAT_206,14,somewhat atypical,Yes,birds at the zoo,2,heron_600x600,birds,heron,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",-0.4702699715629801,-0.626962328219399
CAT_206,15,somewhat atypical,Yes,birds in books and tv,2,kingfisher_600x600,birds,kingfisher,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",-0.4702699715629801,-0.626962328219399
CAT_206,16,very atypical,Yes,birds at the zoo,1,kookaburra_600x600,birds,kookaburra,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",-1.0972966003136202,-1.3793171220826779
CAT_206,17,very atypical,No,NA,1,lionfish_600x600,fish,lionfish,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",-1.0972966003136202,-0.7925939239012169
CAT_206,18,somewhat typical,Yes,cats in books and tv,4,oriental_600x600,cats,oriental,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",0.7837832859383003,0.6773488747516605
CAT_206,19,somewhat typical,Yes,"birds in books, tv, and outside",4,robin_600x600,birds,robin,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",0.7837832859383003,0.8777472595071584
CAT_206,20,very atypical,No,NA,1,sheepdog_600x600,dogs,sheepdog,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",-1.0972966003136202,-1.061445555206044
CAT_206,21,somewhat typical,Yes,"birds in books, tv, and outside",4,sparrow_600x600,birds,sparrow,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",0.7837832859383003,0.8777472595071584
CAT_206,22,very atypical,No,NA,1,sphynx_600x600,cats,sphynx,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",-1.0972966003136202,-1.0644053746097526
CAT_206,23,very atypical,No,NA,1,sturgeon_600x600,fish,sturgeon,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",-1.0972966003136202,-0.7925939239012169
CAT_206,24,very typical,Yes,cats in the neighborhood,5,tabby_600x600,cats,tabby,no pets,"All Better
My first words
Touch, Feel
Baby Shark
Where's the Ladybug",1.4108099146889403,1.2579336245387982
