Trial,Framerate,Framecount,file,response_uuid,trial_number
31,30.1736,219,framerate_table_034920a5-3a3f-4d5e-affc-08ef4bef6ae4,034920a5-3a3f-4d5e-affc-08ef4bef6ae4,21
32,30.148,218,framerate_table_034920a5-3a3f-4d5e-affc-08ef4bef6ae4,034920a5-3a3f-4d5e-affc-08ef4bef6ae4,22
33,30.1528,219,framerate_table_034920a5-3a3f-4d5e-affc-08ef4bef6ae4,034920a5-3a3f-4d5e-affc-08ef4bef6ae4,23
34,30.1487,219,framerate_table_034920a5-3a3f-4d5e-affc-08ef4bef6ae4,034920a5-3a3f-4d5e-affc-08ef4bef6ae4,24
36,30.1438,218,framerate_table_034920a5-3a3f-4d5e-affc-08ef4bef6ae4,034920a5-3a3f-4d5e-affc-08ef4bef6ae4,26
37,30.1736,219,framerate_table_034920a5-3a3f-4d5e-affc-08ef4bef6ae4,034920a5-3a3f-4d5e-affc-08ef4bef6ae4,27
38,30.1653,219,framerate_table_034920a5-3a3f-4d5e-affc-08ef4bef6ae4,034920a5-3a3f-4d5e-affc-08ef4bef6ae4,28
39,30.1736,219,framerate_table_034920a5-3a3f-4d5e-affc-08ef4bef6ae4,034920a5-3a3f-4d5e-affc-08ef4bef6ae4,29
11,15.1599,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,1
12,15.1494,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,2
13,15.1578,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,3
14,15.1431,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,4
16,15.1557,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,6
17,15.141,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,7
18,15.1642,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,8
19,15.1684,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,9
21,15.1642,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,11
22,15.1431,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,12
23,15.1557,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,13
24,15.1536,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,14
26,15.1599,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,16
27,15.1599,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,17
28,15.1684,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,18
29,15.1536,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,19
31,15.1705,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,21
32,15.1536,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,22
33,15.1599,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,23
34,15.1557,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,24
36,14.4545,104,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,26
37,15.1473,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,27
38,15.1473,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,28
39,15.1578,109,framerate_table_03bd608a-43c8-402c-acb2-32947b596f64,03bd608a-43c8-402c-acb2-32947b596f64,29
11,30.1563,218,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,1
12,30.1438,218,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,2
13,30.0648,218,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,3
14,30.1438,218,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,4
16,30.1688,218,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,6
17,30.1855,218,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,7
18,30.0221,217,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,8
19,30.0263,217,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,9
21,30.1147,218,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,11
22,30.1396,218,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,12
23,30.1605,218,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,13
24,30.1944,219,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,14
26,30.1521,218,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,16
27,30.173,218,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,17
28,30.148,218,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,18
29,30.0565,218,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,19
31,30.1271,218,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,21
32,30.1688,218,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,22
33,30.1653,219,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,23
34,30.1902,219,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,24
36,30.1147,218,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,26
37,30.1778,219,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,27
38,30.1986,219,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,28
39,30.1313,218,framerate_table_0454d697-0d19-47d1-a6d2-d6bfc18a7f18,0454d697-0d19-47d1-a6d2-d6bfc18a7f18,29
11,30.1772,218,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,1
12,30.2065,218,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,2
13,30.1814,218,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,3
14,30.1976,217,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,4
16,30.2186,217,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,6
17,30.2106,218,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,7
18,30.1897,218,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,8
19,30.2065,218,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,9
21,30.2228,217,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,11
22,30.2148,218,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,12
23,30.2023,218,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,13
24,24.0746,173,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,14
26,23.9513,173,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,16
27,30.1766,217,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,17
28,30.219,218,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,18
29,30.2316,218,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,19
31,24.0712,173,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,21
32,24.1064,174,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,22
33,24.0779,173,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,23
34,24.083,174,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,24
36,24.0813,173,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,26
37,23.9413,173,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,27
38,24.0311,173,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,28
39,24.0997,174,framerate_table_05261b42-5cee-4312-b268-6d9f4b1434db,05261b42-5cee-4312-b268-6d9f4b1434db,29
11,30,242,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,1
12,26.9408,228,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,2
13,30,242,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,3
14,29.97,242,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,4
16,30,243,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,6
17,26.9981,227,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,7
18,26.9596,227,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,8
19,26.8868,228,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,9
21,27.0335,227,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,11
22,26.9122,228,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,12
23,27.0334,228,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,13
24,26.9404,227,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,14
26,30,241,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,16
27,28.3078,227,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,17
28,26.9372,227,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,18
29,26.8773,228,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,19
31,30,244,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,21
32,26.9793,229,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,22
33,27.0463,227,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,23
34,27.027,227,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,24
36,30,242,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,26
37,27.027,228,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,27
38,26.9821,227,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,28
39,26.8464,229,framerate_table_065fef9a-47ef-4b59-bf35-9c2e31d624a9,065fef9a-47ef-4b59-bf35-9c2e31d624a9,29
11,29.6801,218,framerate_table_07a15b21-0028-4419-9fef-91fc3fcff37a,07a15b21-0028-4419-9fef-91fc3fcff37a,1
12,29.6841,218,framerate_table_07a15b21-0028-4419-9fef-91fc3fcff37a,07a15b21-0028-4419-9fef-91fc3fcff37a,2
