"imageName","image","N","mean_typicality","sd_typicality","se_typicality","category","category_plural","typicality_subjective","animal_name","original_image_name","source","final_image_name","final_image_name_ext","image_experiment_name","image_path"
"exotic","lib/images/exotic_600x600.jpg",41,2.97560975609756,0.98711207261508,0.154161005785956,"cat","cats","atypical","exotic","exotic_mz_1","https://commons.wikimedia.org/wiki/File:Exotic_Shorthair.jpg","exotic","_600x600.jpg","exotic_600x600.jpg","../images/exotic_600x600.jpg"
"falcon","lib/images/falcon_600x600.jpg",41,3.8780487804878,1.05344961795094,0.164521189795513,"bird","birds","typical","falcon","falcon_mz_1","https://upload.wikimedia.org/wikipedia/commons/9/9a/Falco_peregrinus_good_-_Christopher_Watson.jpg","falcon","_600x600.jpg","falcon_600x600.jpg","../images/falcon_600x600.jpg"
"foxhound","lib/images/foxhound_600x600.jpg",41,3.97560975609756,1.10652168704569,0.172809654477252,"dog","dogs","typical","american foxhound","foxhound_mz","https://commons.wikimedia.org/wiki/File:BIR_Grupp_6-_AMERICAN_FOXHOUND,_J%C3%A4%C3%A4r%C3%A4p%C3%A4%C3%A4_Flikka_(23607404123).jpg","foxhound","_600x600.jpg","foxhound_600x600.jpg","../images/foxhound_600x600.jpg"
"germanshepherd","lib/images/germanshepherd_600x600.jpg",41,4.53658536585366,0.636300281927085,0.0993734087193335,"dog","dogs","typical","german shepherd","germanshepherd_mz_1","https://commons.wikimedia.org/wiki/File:02.Owczarek_niemiecki_u%C5%BCytkowy_kr%C3%B3tkow%C5%82osy_suka.jpg","germanshepherd","_600x600.jpg","germanshepherd_600x600.jpg","../images/germanshepherd_600x600.jpg"
"goldenretriever","lib/images/goldenretriever_600x600.jpg",41,4.31707317073171,1.03535077124238,0.161694624819192,"dog","dogs","typical","golden retriever","goldenretriever_hw","https://pixabay.com/photos/dog-lake-constance-golden-retriever-1994692/","goldenretriever","_600x600.jpg","goldenretriever_600x600.jpg","../images/goldenretriever_600x600.jpg"
"goldfinch","lib/images/goldfinch_600x600.jpg",41,3.60975609756098,1.20162491611334,0.187662283528501,"bird","birds","typical","goldfinch","goldfinch_boss","BOSS","goldfinch","_600x600.jpg","goldfinch_600x600.jpg","../images/goldfinch_600x600.jpg"
"goldfish","lib/images/goldfish_600x600.jpg",41,4.34146341463415,0.93834311681711,0.146544574495608,"fish","fish","typical","goldfish","goldfish_hw","https://pixabay.com/photos/veiltail-fish-goldfish-swim-11453/","goldfish","_600x600.jpg","goldfish_600x600.jpg","../images/goldfish_600x600.jpg"
"greyhound","lib/images/greyhound_600x600.jpg",41,2.85365853658537,1.1081736238008,0.1730676436547,"dog","dogs","atypical","greyhound","greyhound_BOSS","BOSS","greyhound","_600x600.jpg","greyhound_600x600.jpg","../images/greyhound_600x600.jpg"
"heron","lib/images/heron_600x600.jpg",41,3,1.24498995979887,0.194434765535334,"bird","birds","atypical","heron","heron_boss","BOSS","heron","_600x600.jpg","heron_600x600.jpg","../images/heron_600x600.jpg"
"husky","lib/images/husky_600x600.jpg",41,4.17073170731707,0.833739738299376,0.130208271366236,"dog","dogs","typical","siberian husky","husky_hw","https://pixabay.com/photos/dog-husky-sled-dog-animal-2016708/","husky","_600x600.jpg","husky_600x600.jpg","../images/husky_600x600.jpg"
"kingfisher","lib/images/kingfisher_600x600.jpg",41,3.17073170731707,1.07010371049703,0.167122122079277,"bird","birds","atypical","king fisher","kingfisher_boss","BOSS","kingfisher","_600x600.jpg","kingfisher_600x600.jpg","../images/kingfisher_600x600.jpg"
"koi","lib/images/koi_600x600.jpg",41,3.80487804878049,1.00547282894969,0.157028474173852,"fish","fish","typical","koi","koi_mz","https://www.flickr.com/photos/oregonstateuniversity/13311666853","koi","_600x600.jpg","koi_600x600.jpg","../images/koi_600x600.jpg"
"kookaburra","lib/images/kookaburra_600x600.jpg",41,2.17073170731707,1.26298137405882,0.197244552382007,"bird","birds","atypical","kookaburra","kookaburra_mz_1","https://unsplash.com/photos/TwQP2gDmUJA","kookaburra","_600x600.jpg","kookaburra_600x600.jpg","../images/kookaburra_600x600.jpg"
"labrador","lib/images/labrador_600x600.jpg",41,4.1219512195122,1.0294445577888,0.160772229245629,"dog","dogs","typical","labrador retriever","labrador_mz_1","https://commons.wikimedia.org/wiki/File:Black_labrador_retriever.jpg","labrador","_600x600.jpg","labrador_600x600.jpg","../images/labrador_600x600.jpg"
"lionfish","lib/images/lionfish_600x600.jpg",41,2.29268292682927,1.22971343082493,0.192048972536873,"fish","fish","atypical","lion fish","lionfish_mz","https://unsplash.com/photos/gULJzSnDuZU","lionfish","_600x600.jpg","lionfish_600x600.jpg","../images/lionfish_600x600.jpg"
"oriental","lib/images/oriental_600x600.jpg",41,2.1219512195122,1.00486620878651,0.156933736020931,"cat","cats","atypical","oriental","oriental_mz","https://en.wikipedia.org/wiki/File:Fatale_de_la_l%C3%A9gende_d%27ali.jpg","oriental","_600x600.jpg","oriental_600x600.jpg","../images/oriental_600x600.jpg"
"owl","lib/images/owl_600x600.jpg",41,3.31707317073171,1.21323996781848,0.189476249847824,"bird","birds","atypical","owl","owl_boss","BOSS","owl","_600x600.jpg","owl_600x600.jpg","../images/owl_600x600.jpg"
"parrot","lib/images/parrot_600x600.jpg",41,3.34146341463415,1.23712885540596,0.193207067289693,"bird","birds","typical","parrot","parrot_boss","BOSS","parrot","_600x600.jpg","parrot_600x600.jpg","../images/parrot_600x600.jpg"
"peacock","lib/images/peacock_600x600.jpg",41,2.39024390243902,1.26249849070183,0.197169138671592,"bird","birds","atypical","peacock","peacock_boss","BOSS","peacock","_600x600.jpg","peacock_600x600.jpg","../images/peacock_600x600.jpg"
