"simulation_num","model","fixed_effect","sample_size","nsims","power"
1,"3.2",0.025,80,100,0.07
1,"3.2",0.05,80,100,0.3
2,"3.2",0.025,80,100,0.06
2,"3.2",0.05,80,100,0.23
3,"3.2",0.025,80,100,0.08
3,"3.2",0.05,80,100,0.32
4,"3.2",0.025,80,100,0.12
4,"3.2",0.05,80,100,0.3
5,"3.2",0.025,80,100,0.1
5,"3.2",0.05,80,100,0.19
6,"3.2",0.025,80,100,0.11
6,"3.2",0.05,80,100,0.27
7,"3.2",0.025,80,100,0.07
7,"3.2",0.05,80,100,0.28
8,"3.2",0.025,80,100,0.06
8,"3.2",0.05,80,100,0.25
9,"3.2",0.025,80,100,0.09
9,"3.2",0.05,80,100,0.23
10,"3.2",0.025,80,100,0.07
10,"3.2",0.05,80,100,0.39
11,"3.2",0.025,80,100,0.14
11,"3.2",0.05,80,100,0.27
12,"3.2",0.025,80,100,0.04
12,"3.2",0.05,80,100,0.3
13,"3.2",0.025,80,100,0.07
13,"3.2",0.05,80,100,0.22
14,"3.2",0.025,80,100,0.08
14,"3.2",0.05,80,100,0.33
15,"3.2",0.025,80,100,0.07
15,"3.2",0.05,80,100,0.35
16,"3.2",0.025,80,100,0.12
16,"3.2",0.05,80,100,0.3
17,"3.2",0.025,80,100,0.09
17,"3.2",0.05,80,100,0.26
18,"3.2",0.025,80,100,0.14
18,"3.2",0.05,80,100,0.2
19,"3.2",0.025,80,100,0.13
19,"3.2",0.05,80,100,0.2
20,"3.2",0.025,80,100,0.09
20,"3.2",0.05,80,100,0.35
21,"3.2",0.025,80,100,0.07
21,"3.2",0.05,80,100,0.34
22,"3.2",0.025,80,100,0.12
22,"3.2",0.05,80,100,0.3
23,"3.2",0.025,80,100,0.12
23,"3.2",0.05,80,100,0.31
24,"3.2",0.025,80,100,0.09
24,"3.2",0.05,80,100,0.24
25,"3.2",0.025,80,100,0.07
25,"3.2",0.05,80,100,0.28
26,"3.2",0.025,80,100,0.09
26,"3.2",0.05,80,100,0.3
27,"3.2",0.025,80,100,0.13
27,"3.2",0.05,80,100,0.36
28,"3.2",0.025,80,100,0.11
28,"3.2",0.05,80,100,0.16
29,"3.2",0.025,80,100,0.05
29,"3.2",0.05,80,100,0.31
30,"3.2",0.025,80,100,0.13
30,"3.2",0.05,80,100,0.24
31,"3.2",0.025,80,100,0.08
31,"3.2",0.05,80,100,0.18
32,"3.2",0.025,80,100,0.15
32,"3.2",0.05,80,100,0.27
33,"3.2",0.025,80,100,0.05
33,"3.2",0.05,80,100,0.34
34,"3.2",0.025,80,100,0.07
34,"3.2",0.05,80,100,0.26
35,"3.2",0.025,80,100,0.08
35,"3.2",0.05,80,100,0.26
36,"3.2",0.025,80,100,0.06
36,"3.2",0.05,80,100,0.2
37,"3.2",0.025,80,100,0.13
37,"3.2",0.05,80,100,0.25
38,"3.2",0.025,80,100,0.14
38,"3.2",0.05,80,100,0.25
39,"3.2",0.025,80,100,0.13
39,"3.2",0.05,80,100,0.26
40,"3.2",0.025,80,100,0.09
40,"3.2",0.05,80,100,0.24
41,"3.2",0.025,80,100,0.14
41,"3.2",0.05,80,100,0.33
42,"3.2",0.025,80,100,0.08
42,"3.2",0.05,80,100,0.27
43,"3.2",0.025,80,100,0.14
43,"3.2",0.05,80,100,0.29
44,"3.2",0.025,80,100,0.07
44,"3.2",0.05,80,100,0.2
45,"3.2",0.025,80,100,0.08
45,"3.2",0.05,80,100,0.26
46,"3.2",0.025,80,100,0.05
46,"3.2",0.05,80,100,0.29
47,"3.2",0.025,80,100,0.17
47,"3.2",0.05,80,100,0.24
48,"3.2",0.025,80,100,0.15
48,"3.2",0.05,80,100,0.22
49,"3.2",0.025,80,100,0.07
49,"3.2",0.05,80,100,0.3
50,"3.2",0.025,80,100,0.12
50,"3.2",0.05,80,100,0.33
