"simulation_num","model","fixed_effect","sample_size","nsims","power"
1,"3.2_age",0.025,80,100,0.51
1,"3.2_age",0.05,80,100,0.98
2,"3.2_age",0.025,80,100,0.56
2,"3.2_age",0.05,80,100,1
3,"3.2_age",0.025,80,100,0.59
3,"3.2_age",0.05,80,100,1
4,"3.2_age",0.025,80,100,0.58
4,"3.2_age",0.05,80,100,0.99
5,"3.2_age",0.025,80,100,0.51
5,"3.2_age",0.05,80,100,1
6,"3.2_age",0.025,80,100,0.53
6,"3.2_age",0.05,80,100,0.99
7,"3.2_age",0.025,80,100,0.59
7,"3.2_age",0.05,80,100,1
8,"3.2_age",0.025,80,100,0.54
8,"3.2_age",0.05,80,100,1
9,"3.2_age",0.025,80,100,0.58
9,"3.2_age",0.05,80,100,0.98
10,"3.2_age",0.025,80,100,0.61
10,"3.2_age",0.05,80,100,1
11,"3.2_age",0.025,80,100,0.51
11,"3.2_age",0.05,80,100,0.99
12,"3.2_age",0.025,80,100,0.52
12,"3.2_age",0.05,80,100,0.98
13,"3.2_age",0.025,80,100,0.64
13,"3.2_age",0.05,80,100,0.97
14,"3.2_age",0.025,80,100,0.56
14,"3.2_age",0.05,80,100,1
15,"3.2_age",0.025,80,100,0.55
15,"3.2_age",0.05,80,100,0.99
16,"3.2_age",0.025,80,100,0.53
16,"3.2_age",0.05,80,100,1
17,"3.2_age",0.025,80,100,0.51
17,"3.2_age",0.05,80,100,0.98
18,"3.2_age",0.025,80,100,0.51
18,"3.2_age",0.05,80,100,0.99
19,"3.2_age",0.025,80,100,0.56
19,"3.2_age",0.05,80,100,1
20,"3.2_age",0.025,80,100,0.51
20,"3.2_age",0.05,80,100,1
21,"3.2_age",0.025,80,100,0.6
21,"3.2_age",0.05,80,100,1
22,"3.2_age",0.025,80,100,0.59
22,"3.2_age",0.05,80,100,0.99
23,"3.2_age",0.025,80,100,0.51
23,"3.2_age",0.05,80,100,1
24,"3.2_age",0.025,80,100,0.61
24,"3.2_age",0.05,80,100,0.98
25,"3.2_age",0.025,80,100,0.54
25,"3.2_age",0.05,80,100,1
26,"3.2_age",0.025,80,100,0.49
26,"3.2_age",0.05,80,100,0.99
27,"3.2_age",0.025,80,100,0.51
27,"3.2_age",0.05,80,100,0.98
28,"3.2_age",0.025,80,100,0.58
28,"3.2_age",0.05,80,100,1
29,"3.2_age",0.025,80,100,0.4
29,"3.2_age",0.05,80,100,0.99
30,"3.2_age",0.025,80,100,0.51
30,"3.2_age",0.05,80,100,0.99
31,"3.2_age",0.025,80,100,0.52
31,"3.2_age",0.05,80,100,0.98
32,"3.2_age",0.025,80,100,0.54
32,"3.2_age",0.05,80,100,0.96
33,"3.2_age",0.025,80,100,0.5
33,"3.2_age",0.05,80,100,0.99
34,"3.2_age",0.025,80,100,0.49
34,"3.2_age",0.05,80,100,0.98
35,"3.2_age",0.025,80,100,0.58
35,"3.2_age",0.05,80,100,0.99
36,"3.2_age",0.025,80,100,0.61
36,"3.2_age",0.05,80,100,1
37,"3.2_age",0.025,80,100,0.57
37,"3.2_age",0.05,80,100,0.98
38,"3.2_age",0.025,80,100,0.52
38,"3.2_age",0.05,80,100,0.99
39,"3.2_age",0.025,80,100,0.54
39,"3.2_age",0.05,80,100,0.99
40,"3.2_age",0.025,80,100,0.54
40,"3.2_age",0.05,80,100,1
41,"3.2_age",0.025,80,100,0.51
41,"3.2_age",0.05,80,100,0.97
42,"3.2_age",0.025,80,100,0.53
42,"3.2_age",0.05,80,100,0.98
43,"3.2_age",0.025,80,100,0.57
43,"3.2_age",0.05,80,100,0.99
44,"3.2_age",0.025,80,100,0.45
44,"3.2_age",0.05,80,100,1
45,"3.2_age",0.025,80,100,0.63
45,"3.2_age",0.05,80,100,0.99
46,"3.2_age",0.025,80,100,0.49
46,"3.2_age",0.05,80,100,0.99
47,"3.2_age",0.025,80,100,0.47
47,"3.2_age",0.05,80,100,0.99
48,"3.2_age",0.025,80,100,0.58
48,"3.2_age",0.05,80,100,1
49,"3.2_age",0.025,80,100,0.57
49,"3.2_age",0.05,80,100,0.97
50,"3.2_age",0.025,80,100,0.53
50,"3.2_age",0.05,80,100,1
