"model","fixed_effect","sample_size","nsims","power"
"1",0.025,40,1000,0.119
"1",0.05,40,1000,0.281
"1",0.06,40,1000,0.375
"1",0.075,40,1000,0.559
"1",0.08,40,1000,0.617
"1",0.1,40,1000,0.796
"1",0.025,60,1000,0.151
"1",0.05,60,1000,0.394
"1",0.06,60,1000,0.523
"1",0.075,60,1000,0.68
"1",0.08,60,1000,0.76
"1",0.1,60,1000,0.895
"1",0.025,68,1000,0.168
"1",0.05,68,1000,0.43
"1",0.06,68,1000,0.539
"1",0.075,68,1000,0.764
"1",0.08,68,1000,0.781
"1",0.1,68,1000,0.935
"1",0.025,70,1000,0.155
"1",0.05,70,1000,0.418
"1",0.06,70,1000,0.575
"1",0.075,70,1000,0.731
"1",0.08,70,1000,0.807
"1",0.1,70,1000,0.938
"1",0.025,80,1000,0.168
"1",0.05,80,1000,0.478
"1",0.06,80,1000,0.614
"1",0.075,80,1000,0.767
"1",0.08,80,1000,0.837
"1",0.1,80,1000,0.945
"1",0.025,100,1000,0.206
"1",0.05,100,1000,0.514
"1",0.06,100,1000,0.66
"1",0.075,100,1000,0.811
"1",0.08,100,1000,0.872
"1",0.1,100,1000,0.97
