"model","fixed_effect","sample_size","nsims","power"
"2",0.0125,40,1000,0.087
"2",0.025,40,1000,0.179
"2",0.03,40,1000,0.247
"2",0.04,40,1000,0.42
"2",0.05,40,1000,0.6
"2",0.0125,60,1000,0.084
"2",0.025,60,1000,0.256
"2",0.03,60,1000,0.344
"2",0.04,60,1000,0.583
"2",0.05,60,1000,0.753
"2",0.0125,68,1000,0.101
"2",0.025,68,1000,0.288
"2",0.03,68,1000,0.404
"2",0.04,68,1000,0.608
"2",0.05,68,1000,0.835
"2",0.0125,70,1000,0.127
"2",0.025,70,1000,0.284
"2",0.03,70,1000,0.377
"2",0.04,70,1000,0.637
"2",0.05,70,1000,0.824
"2",0.0125,80,1000,0.117
"2",0.025,80,1000,0.317
"2",0.03,80,1000,0.42
"2",0.04,80,1000,0.671
"2",0.05,80,1000,0.864
"2",0.0125,100,1000,0.128
"2",0.025,100,1000,0.412
"2",0.03,100,1000,0.533
"2",0.04,100,1000,0.816
"2",0.05,100,1000,0.935
