"simulation_num","model","fixed_effect","sample_size","nsims","power"
1,"3.2",0.025,80,100,0.51
1,"3.2",0.05,80,100,0.96
2,"3.2",0.025,80,100,0.49
2,"3.2",0.05,80,100,0.95
3,"3.2",0.025,80,100,0.45
3,"3.2",0.05,80,100,0.94
4,"3.2",0.025,80,100,0.51
4,"3.2",0.05,80,100,0.93
5,"3.2",0.025,80,100,0.43
5,"3.2",0.05,80,100,0.95
6,"3.2",0.025,80,100,0.47
6,"3.2",0.05,80,100,0.97
7,"3.2",0.025,80,100,0.49
7,"3.2",0.05,80,100,0.94
8,"3.2",0.025,80,100,0.45
8,"3.2",0.05,80,100,0.97
9,"3.2",0.025,80,100,0.46
9,"3.2",0.05,80,100,0.98
10,"3.2",0.025,80,100,0.42
10,"3.2",0.05,80,100,0.95
11,"3.2",0.025,80,100,0.56
11,"3.2",0.05,80,100,0.99
12,"3.2",0.025,80,100,0.52
12,"3.2",0.05,80,100,0.98
13,"3.2",0.025,80,100,0.41
13,"3.2",0.05,80,100,0.95
14,"3.2",0.025,80,100,0.43
14,"3.2",0.05,80,100,0.98
15,"3.2",0.025,80,100,0.46
15,"3.2",0.05,80,100,0.97
16,"3.2",0.025,80,100,0.4
16,"3.2",0.05,80,100,0.97
17,"3.2",0.025,80,100,0.41
17,"3.2",0.05,80,100,1
18,"3.2",0.025,80,100,0.38
18,"3.2",0.05,80,100,0.96
19,"3.2",0.025,80,100,0.45
19,"3.2",0.05,80,100,0.97
20,"3.2",0.025,80,100,0.32
20,"3.2",0.05,80,100,0.95
21,"3.2",0.025,80,100,0.51
21,"3.2",0.05,80,100,0.95
22,"3.2",0.025,80,100,0.41
22,"3.2",0.05,80,100,0.98
23,"3.2",0.025,80,100,0.56
23,"3.2",0.05,80,100,0.98
24,"3.2",0.025,80,100,0.45
24,"3.2",0.05,80,100,0.99
25,"3.2",0.025,80,100,0.41
25,"3.2",0.05,80,100,0.97
26,"3.2",0.025,80,100,0.51
26,"3.2",0.05,80,100,0.92
27,"3.2",0.025,80,100,0.37
27,"3.2",0.05,80,100,0.99
28,"3.2",0.025,80,100,0.43
28,"3.2",0.05,80,100,0.99
29,"3.2",0.025,80,100,0.46
29,"3.2",0.05,80,100,0.97
30,"3.2",0.025,80,100,0.53
30,"3.2",0.05,80,100,0.96
31,"3.2",0.025,80,100,0.4
31,"3.2",0.05,80,100,0.99
32,"3.2",0.025,80,100,0.37
32,"3.2",0.05,80,100,0.96
33,"3.2",0.025,80,100,0.41
33,"3.2",0.05,80,100,0.96
34,"3.2",0.025,80,100,0.4
34,"3.2",0.05,80,100,0.98
35,"3.2",0.025,80,100,0.5
35,"3.2",0.05,80,100,0.97
36,"3.2",0.025,80,100,0.46
36,"3.2",0.05,80,100,0.96
37,"3.2",0.025,80,100,0.47
37,"3.2",0.05,80,100,0.97
38,"3.2",0.025,80,100,0.47
38,"3.2",0.05,80,100,0.96
39,"3.2",0.025,80,100,0.43
39,"3.2",0.05,80,100,0.97
40,"3.2",0.025,80,100,0.49
40,"3.2",0.05,80,100,0.95
41,"3.2",0.025,80,100,0.46
41,"3.2",0.05,80,100,0.94
42,"3.2",0.025,80,100,0.43
42,"3.2",0.05,80,100,0.98
43,"3.2",0.025,80,100,0.49
43,"3.2",0.05,80,100,0.94
44,"3.2",0.025,80,100,0.33
44,"3.2",0.05,80,100,0.98
45,"3.2",0.025,80,100,0.46
45,"3.2",0.05,80,100,0.95
46,"3.2",0.025,80,100,0.34
46,"3.2",0.05,80,100,0.94
47,"3.2",0.025,80,100,0.55
47,"3.2",0.05,80,100,0.94
48,"3.2",0.025,80,100,0.45
48,"3.2",0.05,80,100,0.98
49,"3.2",0.025,80,100,0.48
49,"3.2",0.05,80,100,0.98
50,"3.2",0.025,80,100,0.5
50,"3.2",0.05,80,100,0.98
