"model","fixed_effect","sample_size","nsims","power"
"2",0.0125,40,1000,0.089
"2",0.025,40,1000,0.173
"2",0.03,40,1000,0.268
"2",0.04,40,1000,0.404
"2",0.05,40,1000,0.575
"2",0.0125,60,1000,0.103
"2",0.025,60,1000,0.256
"2",0.03,60,1000,0.355
"2",0.04,60,1000,0.549
"2",0.05,60,1000,0.766
"2",0.0125,68,1000,0.096
"2",0.025,68,1000,0.288
"2",0.03,68,1000,0.4
"2",0.04,68,1000,0.647
"2",0.05,68,1000,0.819
"2",0.0125,70,1000,0.1
"2",0.025,70,1000,0.305
"2",0.03,70,1000,0.409
"2",0.04,70,1000,0.642
"2",0.05,70,1000,0.839
"2",0.0125,80,1000,0.112
"2",0.025,80,1000,0.332
"2",0.03,80,1000,0.446
"2",0.04,80,1000,0.71
"2",0.05,80,1000,0.877
"2",0.0125,100,1000,0.127
"2",0.025,100,1000,0.393
"2",0.03,100,1000,0.527
"2",0.04,100,1000,0.793
"2",0.05,100,1000,0.942
