"model","fixed_effect","sample_size","nsims","power"
"2",0.0125,40,1000,0.086
"2",0.025,40,1000,0.178
"2",0.03,40,1000,0.228
"2",0.04,40,1000,0.407
"2",0.05,40,1000,0.583
"2",0.0125,60,1000,0.087
"2",0.025,60,1000,0.293
"2",0.03,60,1000,0.328
"2",0.04,60,1000,0.592
"2",0.05,60,1000,0.77
"2",0.0125,68,1000,0.093
"2",0.025,68,1000,0.282
"2",0.03,68,1000,0.413
"2",0.04,68,1000,0.646
"2",0.05,68,1000,0.827
"2",0.0125,70,1000,0.098
"2",0.025,70,1000,0.298
"2",0.03,70,1000,0.356
"2",0.04,70,1000,0.662
"2",0.05,70,1000,0.824
"2",0.0125,80,1000,0.094
"2",0.025,80,1000,0.315
"2",0.03,80,1000,0.443
"2",0.04,80,1000,0.68
"2",0.05,80,1000,0.876
"2",0.0125,100,1000,0.157
"2",0.025,100,1000,0.384
"2",0.03,100,1000,0.535
"2",0.04,100,1000,0.796
"2",0.05,100,1000,0.946
