"model","fixed_effect","sample_size","nsims","power"
"1",0.025,40,1000,0.107
"1",0.05,40,1000,0.367
"1",0.06,40,1000,0.513
"1",0.075,40,1000,0.661
"1",0.08,40,1000,0.728
"1",0.1,40,1000,0.908
"1",0.025,60,1000,0.166
"1",0.05,60,1000,0.485
"1",0.06,60,1000,0.679
"1",0.075,60,1000,0.873
"1",0.08,60,1000,0.888
"1",0.1,60,1000,0.981
"1",0.025,68,1000,0.186
"1",0.05,68,1000,0.558
"1",0.06,68,1000,0.727
"1",0.075,68,1000,0.912
"1",0.08,68,1000,0.931
"1",0.1,68,1000,0.991
"1",0.025,70,1000,0.189
"1",0.05,70,1000,0.602
"1",0.06,70,1000,0.745
"1",0.075,70,1000,0.906
"1",0.08,70,1000,0.939
"1",0.1,70,1000,0.993
"1",0.025,80,1000,0.21
"1",0.05,80,1000,0.634
"1",0.06,80,1000,0.788
"1",0.075,80,1000,0.945
"1",0.08,80,1000,0.969
"1",0.1,80,1000,0.993
"1",0.025,100,1000,0.227
"1",0.05,100,1000,0.748
"1",0.06,100,1000,0.885
"1",0.075,100,1000,0.97
"1",0.08,100,1000,0.987
"1",0.1,100,1000,1
