"simulation_num","model","fixed_effect","sample_size","nsims","power"
1,"3.1",0.05,68,100,0.35
1,"3.1",0.075,68,100,0.64
1,"3.1",0.1,68,100,0.92
1,"3.2",0.025,68,100,0.23
1,"3.2",0.05,68,100,0.84
2,"3.1",0.05,68,100,0.3
2,"3.1",0.075,68,100,0.58
2,"3.1",0.1,68,100,0.81
2,"3.2",0.025,68,100,0.35
2,"3.2",0.05,68,100,0.92
3,"3.1",0.05,68,100,0.45
3,"3.1",0.075,68,100,0.72
3,"3.1",0.1,68,100,0.99
3,"3.2",0.025,68,100,0.4
3,"3.2",0.05,68,100,0.89
4,"3.1",0.05,68,100,0.28
4,"3.1",0.075,68,100,0.58
4,"3.1",0.1,68,100,0.8
4,"3.2",0.025,68,100,0.16
4,"3.2",0.05,68,100,0.64
5,"3.1",0.05,68,100,0.42
5,"3.1",0.075,68,100,0.73
5,"3.1",0.1,68,100,0.95
5,"3.2",0.025,68,100,0.23
5,"3.2",0.05,68,100,0.87
6,"3.1",0.05,68,100,0.41
6,"3.1",0.075,68,100,0.79
6,"3.1",0.1,68,100,0.91
6,"3.2",0.025,68,100,0.41
6,"3.2",0.05,68,100,0.91
7,"3.1",0.05,68,100,0.37
7,"3.1",0.075,68,100,0.73
7,"3.1",0.1,68,100,0.97
7,"3.2",0.025,68,100,0.43
7,"3.2",0.05,68,100,0.97
8,"3.1",0.05,68,100,0.26
8,"3.1",0.075,68,100,0.65
8,"3.1",0.1,68,100,0.92
8,"3.2",0.025,68,100,0.2
8,"3.2",0.05,68,100,0.6
9,"3.1",0.05,68,100,0.36
9,"3.1",0.075,68,100,0.64
9,"3.1",0.1,68,100,0.92
9,"3.2",0.025,68,100,0.32
9,"3.2",0.05,68,100,0.96
10,"3.1",0.05,68,100,0.36
10,"3.1",0.075,68,100,0.74
10,"3.1",0.1,68,100,0.94
10,"3.2",0.025,68,100,0.24
10,"3.2",0.05,68,100,0.71
11,"3.1",0.05,68,100,0.38
11,"3.1",0.075,68,100,0.67
11,"3.1",0.1,68,100,0.93
11,"3.2",0.025,68,100,0.36
11,"3.2",0.05,68,100,0.99
12,"3.1",0.05,68,100,0.43
12,"3.1",0.075,68,100,0.81
12,"3.1",0.1,68,100,0.97
12,"3.2",0.025,68,100,0.39
12,"3.2",0.05,68,100,0.95
13,"3.1",0.05,68,100,0.31
13,"3.1",0.075,68,100,0.5
13,"3.1",0.1,68,100,0.8
13,"3.2",0.025,68,100,0.27
13,"3.2",0.05,68,100,0.65
14,"3.1",0.05,68,100,0.37
14,"3.1",0.075,68,100,0.62
14,"3.1",0.1,68,100,0.88
14,"3.2",0.025,68,100,0.25
14,"3.2",0.05,68,100,0.82
15,"3.1",0.05,68,100,0.32
15,"3.1",0.075,68,100,0.59
15,"3.1",0.1,68,100,0.9
15,"3.2",0.025,68,100,0.39
15,"3.2",0.05,68,100,0.96
16,"3.1",0.05,68,100,0.35
16,"3.1",0.075,68,100,0.61
16,"3.1",0.1,68,100,0.84
16,"3.2",0.025,68,100,0.18
16,"3.2",0.05,68,100,0.7
17,"3.1",0.05,68,100,0.46
17,"3.1",0.075,68,100,0.72
17,"3.1",0.1,68,100,0.93
17,"3.2",0.025,68,100,0.36
17,"3.2",0.05,68,100,0.96
18,"3.1",0.05,68,100,0.38
18,"3.1",0.075,68,100,0.73
18,"3.1",0.1,68,100,0.87
18,"3.2",0.025,68,100,0.29
18,"3.2",0.05,68,100,0.9
19,"3.1",0.05,68,100,0.31
19,"3.1",0.075,68,100,0.52
19,"3.1",0.1,68,100,0.81
19,"3.2",0.025,68,100,0.31
19,"3.2",0.05,68,100,0.8
20,"3.1",0.05,68,100,0.4
20,"3.1",0.075,68,100,0.68
20,"3.1",0.1,68,100,0.87
20,"3.2",0.025,68,100,0.23
20,"3.2",0.05,68,100,0.72
21,"3.1",0.05,68,100,0.31
21,"3.1",0.075,68,100,0.62
21,"3.1",0.1,68,100,0.87
21,"3.2",0.025,68,100,0.28
21,"3.2",0.05,68,100,0.96
22,"3.1",0.05,68,100,0.33
22,"3.1",0.075,68,100,0.72
22,"3.1",0.1,68,100,0.85
22,"3.2",0.025,68,100,0.27
22,"3.2",0.05,68,100,0.78
23,"3.1",0.05,68,100,0.46
23,"3.1",0.075,68,100,0.79
23,"3.1",0.1,68,100,0.98
23,"3.2",0.025,68,100,0.4
23,"3.2",0.05,68,100,0.99
24,"3.1",0.05,68,100,0.39
24,"3.1",0.075,68,100,0.65
24,"3.1",0.1,68,100,0.9
24,"3.2",0.025,68,100,0.28
24,"3.2",0.05,68,100,0.83
25,"3.1",0.05,68,100,0.3
25,"3.1",0.075,68,100,0.68
25,"3.1",0.1,68,100,0.9
25,"3.2",0.025,68,100,0.32
25,"3.2",0.05,68,100,0.85
26,"3.1",0.05,68,100,0.31
26,"3.1",0.075,68,100,0.7
26,"3.1",0.1,68,100,0.88
26,"3.2",0.025,68,100,0.49
26,"3.2",0.05,68,100,0.98
27,"3.1",0.05,68,100,0.45
27,"3.1",0.075,68,100,0.72
27,"3.1",0.1,68,100,0.93
27,"3.2",0.025,68,100,0.35
27,"3.2",0.05,68,100,0.94
28,"3.1",0.05,68,100,0.5
28,"3.1",0.075,68,100,0.81
28,"3.1",0.1,68,100,0.95
28,"3.2",0.025,68,100,0.52
28,"3.2",0.05,68,100,1
29,"3.1",0.05,68,100,0.57
29,"3.1",0.075,68,100,0.85
29,"3.1",0.1,68,100,1
29,"3.2",0.025,68,100,0.38
29,"3.2",0.05,68,100,0.85
