"simulation_num","model","fixed_effect","sample_size","nsims","power"
1,"3.1",0.05,68,100,0.38
1,"3.1",0.075,68,100,0.69
1,"3.1",0.1,68,100,0.94
1,"3.2",0.025,68,100,0.26
1,"3.2",0.05,68,100,0.69
2,"3.1",0.05,68,100,0.47
2,"3.1",0.075,68,100,0.75
2,"3.1",0.1,68,100,0.97
2,"3.2",0.025,68,100,0.42
2,"3.2",0.05,68,100,0.98
3,"3.1",0.05,68,100,0.47
3,"3.1",0.075,68,100,0.83
3,"3.1",0.1,68,100,0.95
3,"3.2",0.025,68,100,0.41
3,"3.2",0.05,68,100,0.97
4,"3.1",0.05,68,100,0.46
4,"3.1",0.075,68,100,0.78
4,"3.1",0.1,68,100,0.95
4,"3.2",0.025,68,100,0.41
4,"3.2",0.05,68,100,0.99
5,"3.1",0.05,68,100,0.42
5,"3.1",0.075,68,100,0.67
5,"3.1",0.1,68,100,0.9
5,"3.2",0.025,68,100,0.38
5,"3.2",0.05,68,100,0.95
6,"3.1",0.05,68,100,0.32
6,"3.1",0.075,68,100,0.59
6,"3.1",0.1,68,100,0.74
6,"3.2",0.025,68,100,0.41
6,"3.2",0.05,68,100,0.93
7,"3.1",0.05,68,100,0.44
7,"3.1",0.075,68,100,0.83
7,"3.1",0.1,68,100,0.98
7,"3.2",0.025,68,100,0.36
7,"3.2",0.05,68,100,0.97
8,"3.1",0.05,68,100,0.32
8,"3.1",0.075,68,100,0.63
8,"3.1",0.1,68,100,0.87
8,"3.2",0.025,68,100,0.2
8,"3.2",0.05,68,100,0.67
9,"3.1",0.05,68,100,0.48
9,"3.1",0.075,68,100,0.75
9,"3.1",0.1,68,100,0.93
9,"3.2",0.025,68,100,0.33
9,"3.2",0.05,68,100,0.66
10,"3.1",0.05,68,100,0.3
10,"3.1",0.075,68,100,0.5
10,"3.1",0.1,68,100,0.85
10,"3.2",0.025,68,100,0.36
10,"3.2",0.05,68,100,0.97
11,"3.1",0.05,68,100,0.29
11,"3.1",0.075,68,100,0.62
11,"3.1",0.1,68,100,0.88
11,"3.2",0.025,68,100,0.27
11,"3.2",0.05,68,100,0.82
12,"3.1",0.05,68,100,0.47
12,"3.1",0.075,68,100,0.82
12,"3.1",0.1,68,100,0.94
12,"3.2",0.025,68,100,0.31
12,"3.2",0.05,68,100,0.82
13,"3.1",0.05,68,100,0.34
13,"3.1",0.075,68,100,0.68
13,"3.1",0.1,68,100,0.83
13,"3.2",0.025,68,100,0.38
13,"3.2",0.05,68,100,0.93
14,"3.1",0.05,68,100,0.47
14,"3.1",0.075,68,100,0.74
14,"3.1",0.1,68,100,0.97
14,"3.2",0.025,68,100,0.19
14,"3.2",0.05,68,100,0.71
15,"3.1",0.05,68,100,0.37
15,"3.1",0.075,68,100,0.63
15,"3.1",0.1,68,100,0.88
15,"3.2",0.025,68,100,0.15
15,"3.2",0.05,68,100,0.7
16,"3.1",0.05,68,100,0.46
16,"3.1",0.075,68,100,0.84
16,"3.1",0.1,68,100,0.99
16,"3.2",0.025,68,100,0.27
16,"3.2",0.05,68,100,0.86
17,"3.1",0.05,68,100,0.33
17,"3.1",0.075,68,100,0.6
17,"3.1",0.1,68,100,0.91
17,"3.2",0.025,68,100,0.37
17,"3.2",0.05,68,100,0.98
18,"3.1",0.05,68,100,0.22
18,"3.1",0.075,68,100,0.62
18,"3.1",0.1,68,100,0.9
18,"3.2",0.025,68,100,0.34
18,"3.2",0.05,68,100,0.85
19,"3.1",0.05,68,100,0.28
19,"3.1",0.075,68,100,0.64
19,"3.1",0.1,68,100,0.76
19,"3.2",0.025,68,100,0.27
19,"3.2",0.05,68,100,0.72
20,"3.1",0.05,68,100,0.41
20,"3.1",0.075,68,100,0.83
20,"3.1",0.1,68,100,0.95
20,"3.2",0.025,68,100,0.41
20,"3.2",0.05,68,100,0.96
21,"3.1",0.05,68,100,0.29
21,"3.1",0.075,68,100,0.51
21,"3.1",0.1,68,100,0.79
21,"3.2",0.025,68,100,0.31
21,"3.2",0.05,68,100,0.92
22,"3.1",0.05,68,100,0.35
22,"3.1",0.075,68,100,0.74
22,"3.1",0.1,68,100,0.93
22,"3.2",0.025,68,100,0.15
22,"3.2",0.05,68,100,0.66
23,"3.1",0.05,68,100,0.35
23,"3.1",0.075,68,100,0.71
23,"3.1",0.1,68,100,0.93
23,"3.2",0.025,68,100,0.2
23,"3.2",0.05,68,100,0.71
24,"3.1",0.05,68,100,0.25
24,"3.1",0.075,68,100,0.63
24,"3.1",0.1,68,100,0.85
24,"3.2",0.025,68,100,0.29
24,"3.2",0.05,68,100,0.94
25,"3.1",0.05,68,100,0.26
25,"3.1",0.075,68,100,0.62
25,"3.1",0.1,68,100,0.9
25,"3.2",0.025,68,100,0.28
25,"3.2",0.05,68,100,0.7
26,"3.1",0.05,68,100,0.46
26,"3.1",0.075,68,100,0.87
26,"3.1",0.1,68,100,0.97
26,"3.2",0.025,68,100,0.39
26,"3.2",0.05,68,100,0.99
27,"3.1",0.05,68,100,0.43
27,"3.1",0.075,68,100,0.72
27,"3.1",0.1,68,100,0.89
27,"3.2",0.025,68,100,0.45
27,"3.2",0.05,68,100,0.99
28,"3.1",0.05,68,100,0.48
28,"3.1",0.075,68,100,0.78
28,"3.1",0.1,68,100,0.93
28,"3.2",0.025,68,100,0.31
28,"3.2",0.05,68,100,0.84
29,"3.1",0.05,68,100,0.34
29,"3.1",0.075,68,100,0.63
29,"3.1",0.1,68,100,0.96
29,"3.2",0.025,68,100,0.32
29,"3.2",0.05,68,100,0.87
