"simulation_num","model","fixed_effect","sample_size","nsims","power"
30,"3.1",0.05,68,100,0.31
30,"3.1",0.075,68,100,0.56
30,"3.1",0.1,68,100,0.83
30,"3.2",0.025,68,100,0.17
30,"3.2",0.05,68,100,0.53
31,"3.1",0.05,68,100,0.55
31,"3.1",0.075,68,100,0.8
31,"3.1",0.1,68,100,0.97
31,"3.2",0.025,68,100,0.43
31,"3.2",0.05,68,100,1
32,"3.1",0.05,68,100,0.41
32,"3.1",0.075,68,100,0.81
32,"3.1",0.1,68,100,0.94
32,"3.2",0.025,68,100,0.34
32,"3.2",0.05,68,100,0.92
33,"3.1",0.05,68,100,0.37
33,"3.1",0.075,68,100,0.79
33,"3.1",0.1,68,100,0.89
33,"3.2",0.025,68,100,0.44
33,"3.2",0.05,68,100,0.98
34,"3.1",0.05,68,100,0.37
34,"3.1",0.075,68,100,0.78
34,"3.1",0.1,68,100,0.96
34,"3.2",0.025,68,100,0.29
34,"3.2",0.05,68,100,0.95
35,"3.1",0.05,68,100,0.42
35,"3.1",0.075,68,100,0.71
35,"3.1",0.1,68,100,0.93
35,"3.2",0.025,68,100,0.38
35,"3.2",0.05,68,100,0.96
36,"3.1",0.05,68,100,0.53
36,"3.1",0.075,68,100,0.83
36,"3.1",0.1,68,100,1
36,"3.2",0.025,68,100,0.32
36,"3.2",0.05,68,100,0.93
37,"3.1",0.05,68,100,0.24
37,"3.1",0.075,68,100,0.67
37,"3.1",0.1,68,100,0.87
37,"3.2",0.025,68,100,0.35
37,"3.2",0.05,68,100,0.98
38,"3.1",0.05,68,100,0.42
38,"3.1",0.075,68,100,0.77
38,"3.1",0.1,68,100,0.96
38,"3.2",0.025,68,100,0.18
38,"3.2",0.05,68,100,0.65
39,"3.1",0.05,68,100,0.27
39,"3.1",0.075,68,100,0.6
39,"3.1",0.1,68,100,0.77
39,"3.2",0.025,68,100,0.33
39,"3.2",0.05,68,100,0.85
40,"3.1",0.05,68,100,0.33
40,"3.1",0.075,68,100,0.55
40,"3.1",0.1,68,100,0.8
40,"3.2",0.025,68,100,0.24
40,"3.2",0.05,68,100,0.75
41,"3.1",0.05,68,100,0.43
41,"3.1",0.075,68,100,0.72
41,"3.1",0.1,68,100,0.94
41,"3.2",0.025,68,100,0.38
41,"3.2",0.05,68,100,0.79
42,"3.1",0.05,68,100,0.29
42,"3.1",0.075,68,100,0.55
42,"3.1",0.1,68,100,0.9
42,"3.2",0.025,68,100,0.32
42,"3.2",0.05,68,100,0.95
43,"3.1",0.05,68,100,0.35
43,"3.1",0.075,68,100,0.64
43,"3.1",0.1,68,100,0.88
43,"3.2",0.025,68,100,0.35
43,"3.2",0.05,68,100,0.95
44,"3.1",0.05,68,100,0.29
44,"3.1",0.075,68,100,0.49
44,"3.1",0.1,68,100,0.83
44,"3.2",0.025,68,100,0.35
44,"3.2",0.05,68,100,0.91
45,"3.1",0.05,68,100,0.42
45,"3.1",0.075,68,100,0.65
45,"3.1",0.1,68,100,0.91
45,"3.2",0.025,68,100,0.36
45,"3.2",0.05,68,100,0.98
46,"3.1",0.05,68,100,0.4
46,"3.1",0.075,68,100,0.76
46,"3.1",0.1,68,100,0.9
46,"3.2",0.025,68,100,0.39
46,"3.2",0.05,68,100,0.93
47,"3.1",0.05,68,100,0.31
47,"3.1",0.075,68,100,0.62
47,"3.1",0.1,68,100,0.82
47,"3.2",0.025,68,100,0.29
47,"3.2",0.05,68,100,0.75
48,"3.1",0.05,68,100,0.46
48,"3.1",0.075,68,100,0.79
48,"3.1",0.1,68,100,0.99
48,"3.2",0.025,68,100,0.34
48,"3.2",0.05,68,100,0.86
49,"3.1",0.05,68,100,0.44
49,"3.1",0.075,68,100,0.83
49,"3.1",0.1,68,100,0.96
49,"3.2",0.025,68,100,0.32
49,"3.2",0.05,68,100,0.89
50,"3.1",0.05,68,100,0.43
50,"3.1",0.075,68,100,0.71
50,"3.1",0.1,68,100,0.93
50,"3.2",0.025,68,100,0.5
50,"3.2",0.05,68,100,0.98
