"category","typicality_subjective","imageName","image","N","modal_label","modal_label_count","modal_agreement","category_plural","animal_name","original_image_name","source","final_image_name","final_image_name_ext","image_experiment_name","image_path"
"bird","typical","cardinal","lib/images/cardinal_600x600.jpg",27,"bird",11,0.407407407407407,"birds","cardinal","cardinal_mz_2","https://unsplash.com/photos/BxmvI3hutWs","cardinal","_600x600.jpg","cardinal_600x600.jpg","../images/cardinal_600x600.jpg"
"bird","typical","cedarwaxwing","lib/images/cedarwaxwing_600x600.jpg",25,"bird",18,0.72,"birds","cedar wax wing","cedarwaxwing_boss","BOSS","cedarwaxwing","_600x600.jpg","cedarwaxwing_600x600.jpg","../images/cedarwaxwing_600x600.jpg"
"bird","typical","falcon","lib/images/falcon_600x600.jpg",26,"bird",9,0.346153846153846,"birds","falcon","falcon_mz_1","https://upload.wikimedia.org/wikipedia/commons/9/9a/Falco_peregrinus_good_-_Christopher_Watson.jpg","falcon","_600x600.jpg","falcon_600x600.jpg","../images/falcon_600x600.jpg"
"bird","typical","goldfinch","lib/images/goldfinch_600x600.jpg",27,"bird",17,0.62962962962963,"birds","goldfinch","goldfinch_boss","BOSS","goldfinch","_600x600.jpg","goldfinch_600x600.jpg","../images/goldfinch_600x600.jpg"
"bird","typical","parrot","lib/images/parrot_600x600.jpg",27,"parrot",13,0.481481481481481,"birds","parrot","parrot_boss","BOSS","parrot","_600x600.jpg","parrot_600x600.jpg","../images/parrot_600x600.jpg"
"bird","typical","pigeon","lib/images/pigeon_600x600.jpg",27,"pigeon",17,0.62962962962963,"birds","pigeon","pigeon_mz","https://upload.wikimedia.org/wikipedia/commons/4/43/Common_pigeon_-_Piccione_selvatico_occidentale_%28Columba_livia%29.jpg","pigeon","_600x600.jpg","pigeon_600x600.jpg","../images/pigeon_600x600.jpg"
"bird","typical","robin","lib/images/robin_600x600.jpg",26,"bird",19,0.730769230769231,"birds","robin","robin_mz","https://unsplash.com/photos/rP4IAAk3hGw","robin","_600x600.jpg","robin_600x600.jpg","../images/robin_600x600.jpg"
"bird","typical","seagull","lib/images/seagull_600x600.jpg",27,"seagull",17,0.62962962962963,"birds","seagull","seagull_mz","https://unsplash.com/photos/qrP9Q4ttNLs","seagull","_600x600.jpg","seagull_600x600.jpg","../images/seagull_600x600.jpg"
"bird","typical","sparrow","lib/images/sparrow_600x600.jpg",27,"bird",19,0.703703703703704,"birds","sparrow","sparrow_mz","https://commons.wikimedia.org/wiki/File:Tree_Sparrow_Japan_Flip.jpg","sparrow","_600x600.jpg","sparrow_600x600.jpg","../images/sparrow_600x600.jpg"
"cat","atypical","americancurl","lib/images/americancurl_600x600.jpg",32,"cat",30,0.9375,"cats","American Curl","americancurl_mz_1","https://commons.wikimedia.org/wiki/File:American_curl_fond_blanc.jpg","americancurl","_600x600.jpg","americancurl_600x600.jpg","../images/americancurl_600x600.jpg"
"cat","atypical","cornishrex","lib/images/cornishrex_600x600.jpg",33,"cat",28,0.848484848484849,"cats","Cornish rex","cornishrex_mz_1","https://commons.wikimedia.org/wiki/File:Cornish_Rex.jpg","cornishrex","_600x600.jpg","cornishrex_600x600.jpg","../images/cornishrex_600x600.jpg"
"cat","atypical","exotic","lib/images/exotic_600x600.jpg",33,"cat",29,0.878787878787879,"cats","exotic","exotic_mz_1","https://commons.wikimedia.org/wiki/File:Exotic_Shorthair.jpg","exotic","_600x600.jpg","exotic_600x600.jpg","../images/exotic_600x600.jpg"
"cat","atypical","oriental","lib/images/oriental_600x600.jpg",33,"cat",30,0.909090909090909,"cats","oriental","oriental_mz","https://en.wikipedia.org/wiki/File:Fatale_de_la_l%C3%A9gende_d%27ali.jpg","oriental","_600x600.jpg","oriental_600x600.jpg","../images/oriental_600x600.jpg"
"cat","atypical","sandcat","lib/images/sandcat_600x600.jpg",34,"cat",28,0.823529411764706,"cats","sandcat","sandcat_mz","https://upload.wikimedia.org/wikipedia/commons/7/70/Sand_cat_%284571207173%29.jpg","sandcat","_600x600.jpg","sandcat_600x600.jpg","../images/sandcat_600x600.jpg"
"cat","atypical","siamese","lib/images/siamese_600x600.jpg",33,"cat",28,0.848484848484849,"cats","siamese","siamesecat_hw_2","https://pixabay.com/photos/cat-siamese-cat-fur-kitten-2068462/","siamese","_600x600.jpg","siamese_600x600.jpg","../images/siamese_600x600.jpg"
"cat","atypical","siberian","lib/images/siberian_600x600.jpg",33,"cat",29,0.878787878787879,"cats","siberian","siberian_mz_3","https://commons.wikimedia.org/wiki/File:Siberian_Forest_Cat.jpg","siberian","_600x600.jpg","siberian_600x600.jpg","../images/siberian_600x600.jpg"
"cat","atypical","sphynx","lib/images/sphynx_600x600.jpg",34,"cat",20,0.588235294117647,"cats","sphynx","sphynx_mz_4","https://commons.wikimedia.org/wiki/File:Sphynx_-_cat._img_046.jpg","sphynx","_600x600.jpg","sphynx_600x600.jpg","../images/sphynx_600x600.jpg"
"cat","typical","arabianmau","lib/images/arabianmau_600x600.jpg",30,"cat",27,0.9,"cats","mau","arabianmau_mz_1","https://commons.wikimedia.org/wiki/File:Arabian_Mau1.jpg","arabianmau","_600x600.jpg","arabianmau_600x600.jpg","../images/arabianmau_600x600.jpg"
"cat","typical","bengal","lib/images/bengal_600x600.jpg",30,"cat",25,0.833333333333333,"cats","bengal","bengal_mz_4","https://commons.wikimedia.org/wiki/File:Brown_spotted_tabby_bengal_cat.jpg","bengal","_600x600.jpg","bengal_600x600.jpg","../images/bengal_600x600.jpg"
