Trial	Framerate	Framecount
4	28.6801	264
4	29.1623	306
10	29.0492	271
11	28.9817	218
12	28.9932	218
13	29.1016	218
14	29.1094	218
15	29.1002	217
16	28.9663	218
17	28.9894	218
18	29.1016	218
19	29.1016	218
20	28.9720	217
21	29.0899	218
22	28.9894	218
23	28.9778	218
24	29.1210	218
25	28.9720	217
26	28.9894	218
27	29.1055	218
28	28.9586	218
29	28.9855	218
30	29.1041	217
31	29.1171	218
32	28.9971	218
33	29.1016	218
34	28.9432	218
35	28.9989	219
36	28.9894	218
37	28.8602	217
38	28.9855	218
39	29.1185	219
