Trial	Framerate	Framecount
4	30.1099	189
4	30.2020	163
10	30.0777	275
11	30.1270	223
12	30.1344	222
13	30.1026	223
14	29.9946	224
15	30.1411	220
16	30.1107	223
17	30.1221	222
18	30.0701	223
19	30.1254	221
20	30.1418	221
21	30.0823	223
22	30.1139	222
23	30.0000	222
24	29.8045	221
25	30.0844	221
26	30.7068	53
27	30.1351	223
28	30.1090	221
29	30.1172	221
30	30.1008	221
31	29.9401	220
32	30.0985	223
33	29.9514	222
34	30.1229	223
35	30.0177	220
36	30.1311	223
37	30.1107	223
38	30.5132	66
39	30.1164	220
