Trial	Framerate	Framecount
4	29.6898	446
4	29.6270	336
4	29.6794	287
10	29.6652	272
11	29.6106	219
12	29.6165	217
13	29.6226	219
14	29.6044	217
15	29.4078	216
16	29.6115	218
17	27.2358	201
18	29.6035	218
19	29.6044	217
20	29.6155	218
21	28.5870	210
22	29.6155	218
23	29.6124	217
24	29.6084	217
25	29.6124	217
26	29.6124	217
27	29.6124	217
28	29.6084	217
29	29.6044	217
30	29.6276	218
31	29.6922	218
32	29.6684	153
33	29.7505	217
34	29.6124	217
35	29.6044	217
36	29.6035	218
37	29.6146	219
38	29.6044	217
39	29.6075	218
