Trial	Framerate	Framecount
4	29.5789	229
10	29.6749	272
11	29.7448	218
12	29.6075	218
13	29.7611	218
14	29.7448	218
15	29.6084	217
16	29.7530	218
17	29.6627	73
18	29.6276	218
19	29.6236	218
20	29.7530	218
21	29.7505	217
22	29.7433	219
23	29.7530	218
24	29.6035	218
25	29.7611	218
26	29.7448	218
27	29.6949	219
28	29.6196	218
29	29.6276	218
30	29.7489	218
31	29.7464	217
32	29.6196	218
33	29.6196	218
34	29.6949	219
35	29.7570	218
36	29.7448	218
37	29.7489	218
38	29.7474	219
39	29.5553	218
