Trial	Framerate	Framecount
2	17.1610	243
4	17.1901	266
7	17.2889	94
9	17.2041	207
10	17.3896	91
11	17.3077	90
12	17.5038	92
13	17.2844	90
14	17.3499	91
15	17.3300	91
16	17.2712	90
17	17.2911	90
18	17.3697	91
19	17.3764	91
20	17.3863	91
21	17.4096	91
22	17.3863	91
23	17.3499	91
24	17.2938	91
25	17.3366	91
26	17.3697	91
27	17.2712	90
28	17.2513	90
