Trial	Framerate	Framecount
4	30.1155	326
4	30.0960	304
10	30.0777	275
11	30.0412	219
12	30.0453	219
13	30.0517	221
14	29.9076	220
15	30.0353	221
16	30.0412	219
17	30.0435	221
18	30.0313	221
19	30.0313	221
20	30.0435	221
21	30.0313	221
22	30.0329	219
23	30.0313	221
24	30.0517	221
25	30.0353	221
26	30.0517	221
27	30.0313	221
28	30.0412	219
29	30.0476	221
30	30.0517	221
31	30.0435	221
32	30.0394	221
33	30.0313	221
34	30.0558	221
35	30.0517	221
36	30.0517	221
37	29.7757	219
38	30.0313	221
39	30.0313	221
