Trial	Framerate	Framecount
4	30.0297	486
4	30.0806	336
10	30.1258	206
11	30.1243	235
12	30.0904	223
13	30.1325	257
14	30.1084	225
15	30.0291	598
16	30.0935	222
17	30.1295	221
18	30.1234	249
19	30.1039	229
20	30.3461	576
21	30.0847	238
22	30.1139	222
23	30.1548	222
24	30.0935	222
25	30.0785	341
26	30.1295	221
27	30.0926	221
28	30.0967	221
29	30.1136	236
30	30.0723	308
31	30.1090	221
32	30.1254	221
33	30.1344	222
34	30.0854	222
35	30.0262	562
36	30.1049	221
37	30.1049	221
38	30.0976	222
39	30.1099	222
