Trial	Framerate	Framecount
4	30.0655	303
4	30.1183	247
10	30.0546	275
11	30.1344	222
12	30.1058	222
13	30.1017	222
14	30.1303	222
15	30.0926	221
16	30.1254	221
17	30.1058	222
18	30.1090	221
19	30.1008	221
20	30.1040	220
21	30.1295	221
22	30.1221	222
23	30.1262	222
24	30.1131	221
25	30.1049	221
26	30.1090	221
27	30.1058	222
28	30.1385	222
29	30.1295	221
30	30.1205	220
31	30.1008	221
32	30.0844	221
33	30.1336	221
34	30.1131	221
35	30.1049	221
36	30.1460	221
37	30.1262	222
38	30.1377	221
39	30.1336	221
