Trial	Framerate	Framecount
4	29.7831	184
10	29.9244	273
11	29.9564	220
12	29.9467	219
13	29.9426	219
14	29.9467	219
15	29.9549	219
16	29.9508	219
17	29.9442	220
18	29.9426	219
19	29.9385	219
20	29.9442	220
21	29.9483	220
22	29.9523	220
23	29.9508	219
24	29.9508	219
25	29.9508	219
26	29.9467	219
27	29.9483	220
28	29.9508	219
29	29.9564	220
30	29.9385	219
31	29.9508	219
32	29.9467	219
33	29.9385	219
34	29.9385	219
35	29.9549	219
36	29.9483	220
37	29.9442	220
38	29.9426	219
39	29.9580	221
