Trial	Framerate	Framecount
4	26.6430	375
4	30.0982	423
10	30.1611	277
11	30.1800	223
12	30.1882	223
13	30.2045	223
14	30.1759	223
15	30.2246	222
16	30.1963	223
17	30.1800	223
18	30.1677	223
19	30.1805	224
20	30.2041	222
21	30.2168	223
22	30.1270	223
23	29.9757	222
24	29.6376	220
25	30.2004	223
26	30.1637	223
27	30.1923	223
28	30.1887	224
29	30.1923	223
30	30.2288	222
31	30.2455	223
32	30.2172	224
33	30.1637	223
34	30.1759	223
35	30.1508	222
36	30.1630	222
37	30.2004	223
38	30.1677	223
39	30.2004	223
