Trial	Framerate	Framecount
4	28.3578	292
10	30.0916	276
11	29.8326	221
12	30.0945	223
13	29.8165	221
14	29.9933	223
15	29.8323	217
16	30.1229	223
17	30.1534	226
18	29.9838	222
19	30.1344	222
20	29.9672	219
21	30.1116	224
22	30.1133	226
23	29.5507	219
24	30.0701	223
25	30.1172	221
26	30.1237	224
27	30.0701	223
28	25.8219	227
29	30.0762	221
30	29.9580	221
31	29.8224	220
32	30.0447	222
33	30.0027	224
34	30.1213	221
35	30.1213	221
36	30.1303	222
37	30.0823	223
38	30.1172	221
39	30.0081	222
