Trial	Framerate	Framecount
4	30.1359	235
4	30.1508	246
10	30.1252	272
11	30.1598	217
12	30.1598	217
13	30.1563	218
14	30.1682	217
15	30.1598	217
16	30.1598	217
17	30.1682	217
18	30.1640	217
19	30.1688	218
20	30.1640	217
21	30.1598	217
22	30.1640	217
23	30.1724	217
24	30.1682	217
25	30.1431	217
26	30.1640	217
27	30.1640	217
28	30.1640	217
29	30.1640	217
30	30.1640	217
31	30.1640	217
32	30.1640	217
33	30.1640	217
34	30.1598	217
35	30.1640	217
36	30.1682	217
37	30.1724	217
38	30.1996	177
39	30.1688	218
