Trial	Framerate	Framecount
4	30.0503	382
10	30.0981	276
11	30.1058	222
12	30.1180	222
13	30.1336	221
14	30.1385	222
15	30.1295	221
16	30.1254	221
17	30.1311	223
18	30.1148	223
19	30.1311	223
20	30.1336	221
21	30.1040	220
22	30.1229	223
23	29.9878	222
24	30.0256	223
25	30.1336	221
26	30.0854	222
27	30.0935	222
28	30.1099	222
29	30.0895	222
30	30.1377	221
31	30.1589	222
32	30.0976	222
33	30.1385	222
34	30.1058	222
35	30.1172	221
36	30.0844	221
37	30.1221	222
38	30.1017	222
39	30.1262	222
