Trial	Framerate	Framecount
4	29.6034	359
4	29.3274	276
10	29.6078	271
11	29.6115	218
12	29.7408	218
13	29.6155	218
14	29.6801	218
15	29.5439	217
16	29.6035	218
17	29.5439	217
18	29.4837	217
19	29.5393	218
20	29.6570	217
21	29.6760	218
22	29.6155	218
23	29.6196	218
24	29.6196	218
25	29.6691	217
26	29.5439	217
27	29.6155	218
28	29.6075	218
29	29.5995	218
30	29.6732	217
31	29.5439	217
32	29.6841	218
33	29.6146	219
34	29.5995	218
35	29.5479	217
36	29.6075	218
37	29.6841	218
38	29.5479	217
39	29.4757	217
