Trial	Framerate	Framecount
4	29.5359	371
4	14.9942	143
10	15.0219	137
11	15.0068	110
12	15.0438	110
13	15.0089	110
14	15.0130	110
15	15.0458	110
16	15.0468	111
17	15.0109	110
18	15.0109	110
19	15.0068	110
20	15.0089	110
21	15.0203	111
22	15.0438	110
23	15.0417	110
24	15.0109	110
25	15.0076	109
26	15.0458	110
27	15.0130	110
28	15.0417	110
29	15.0089	110
30	15.0407	109
31	15.0089	110
32	15.0109	110
33	15.0438	110
34	15.0089	110
35	15.0366	109
36	15.0089	110
37	15.0109	110
38	15.0109	110
39	15.0109	110
