Trial	Framerate	Framecount
4	16.2085	395
4	29.9321	313
10	29.9303	275
11	29.9314	227
12	29.9322	225
13	29.9314	227
14	29.9314	227
15	29.9336	221
16	29.9329	223
17	29.9314	227
18	29.9322	225
19	29.9322	225
20	29.9336	221
21	29.9329	223
22	29.9314	227
23	29.9314	227
24	29.9314	227
25	29.9320	220
26	29.9329	223
27	29.9314	227
28	29.9329	223
29	29.9314	227
30	29.9336	221
31	29.9329	223
32	29.9314	227
33	29.9314	227
34	29.9322	225
35	29.9336	221
36	29.9329	223
37	29.9322	225
38	29.9322	225
39	29.9307	229
