Trial	Framerate	Framecount
4	21.4925	108
4	20.9713	152
10	22.0395	201
11	29.6003	217
12	29.6044	217
13	29.6044	217
14	29.6124	217
15	29.6115	218
16	29.6124	217
17	29.6084	217
18	29.6155	218
19	29.6124	217
20	29.6703	216
21	29.6084	217
22	29.6084	217
23	29.6003	217
24	29.6124	217
25	29.6732	217
26	29.6306	219
27	29.6044	217
28	29.6115	218
29	29.6124	217
30	29.6703	216
31	29.6124	217
32	29.6115	218
33	29.6124	217
34	29.6084	217
35	21.3008	150
36	20.0109	147
37	20.0136	147
38	20.0136	147
39	20.0109	147
