Trial	Framerate	Framecount
4	29.2539	425
4	29.6543	223
10	29.6020	270
11	29.6801	218
12	29.6732	217
13	29.6841	218
14	29.6732	217
15	29.6732	217
16	29.6732	217
17	29.6772	217
18	29.6841	218
19	29.6841	218
20	29.6663	216
21	29.6772	217
22	29.6801	218
23	29.6841	218
24	29.6772	217
25	29.6703	216
26	29.6703	216
27	29.6801	218
28	29.6772	217
29	29.6732	217
30	29.6772	217
31	29.6772	217
32	29.6732	217
33	29.6772	217
34	29.6772	217
35	29.6732	217
36	29.6785	216
37	29.6841	218
38	29.6894	217
39	29.6841	218
