Trial	Framerate	Framecount
4	29.6372	174
4	29.7328	207
10	15.0219	137
11	15.0203	111
12	17.1784	127
13	29.6813	217
14	22.2513	68
15	30.2080	318
16	27.4419	202
17	29.5593	218
18	29.6936	220
19	29.7723	221
20	29.7316	216
21	29.6124	217
22	29.7448	218
23	29.5739	220
24	29.6155	218
25	29.6703	216
26	29.6854	217
27	28.7780	211
28	29.7554	219
29	29.7514	219
30	15.0438	110
31	15.0438	110
32	15.0488	111
33	15.0488	111
34	15.0203	111
35	15.0417	110
36	15.0458	110
37	15.0508	111
38	15.0488	111
39	15.0488	111
