Trial	Framerate	Framecount
4	29.6763	330
4	29.7308	233
10	29.5751	213
11	29.5479	217
12	29.6155	218
13	29.5850	221
14	29.5771	221
15	29.5520	217
16	29.7109	222
17	29.6909	219
18	29.7700	220
19	29.7619	220
20	29.7398	216
21	29.7747	222
22	29.7464	217
23	29.6869	219
24	29.6976	220
25	29.6663	216
26	29.7279	224
27	29.7083	221
28	29.7619	220
29	29.6976	220
30	29.7398	216
31	29.7214	223
32	29.6869	219
33	29.6949	219
34	29.6976	220
35	29.5249	215
36	29.5699	220
37	29.7530	218
38	29.5771	221
39	29.5666	219
