Trial	Framerate	Framecount
2	17.1813	212
7	17.2000	172
9	17.2039	206
10	20.1585	145
11	17.2318	124
12	17.2294	124
13	20.1613	145
14	17.3399	91
15	20.0278	144
16	20.1145	144
17	20.0720	145
18	17.2390	124
19	20.0416	106
20	17.2462	124
21	20.1725	145
22	17.2174	124
23	17.2606	124
24	20.1227	105
25	20.0609	145
26	20.0664	145
27	20.0526	145
28	17.2390	124
