Trial	Framerate	Framecount
4	30.0846	384
4	30.1003	225
10	30.0908	275
11	30.0935	222
12	30.1026	223
13	30.1377	221
14	30.0976	222
15	30.1131	221
16	30.1017	222
17	30.1058	222
18	30.1017	222
19	30.1377	221
20	30.1049	221
21	30.1221	222
22	30.1058	222
23	30.0935	222
24	30.1426	222
25	30.0926	221
26	30.1139	222
27	30.1139	222
28	30.1139	222
29	30.0762	221
30	30.1131	221
31	30.1385	222
32	30.1303	222
33	30.0904	223
34	30.1008	221
35	30.1254	221
36	30.1229	223
37	30.1311	223
38	30.0904	223
39	30.0823	223
