Trial	Framerate	Framecount
4	15.0425	163
4	15.0336	143
10	15.0252	137
11	15.0177	318
12	15.0549	111
13	15.0520	110
14	15.0499	110
15	15.0479	110
16	15.0520	110
17	15.0479	110
18	15.0479	110
19	15.0520	110
20	15.0499	110
21	15.0520	110
22	15.0097	316
23	15.0114	542
24	15.0479	110
25	15.0479	110
26	15.0172	327
27	15.0499	110
28	15.0795	111
29	15.0549	111
30	15.0561	110
31	15.0541	110
32	15.0499	110
33	15.0623	110
34	14.9295	109
35	15.0356	112
36	15.0395	118
37	15.0697	106
38	15.0528	104
39	15.0587	118
