"model","fixed_effect","sample_size","nsims","power"
"1",0.025,40,1000,0.082
"1",0.05,40,1000,0.22
"1",0.06,40,1000,0.338
"1",0.075,40,1000,0.444
"1",0.08,40,1000,0.54
"1",0.1,40,1000,0.691
"1",0.025,60,1000,0.1
"1",0.05,60,1000,0.282
"1",0.06,60,1000,0.443
"1",0.075,60,1000,0.591
"1",0.08,60,1000,0.643
"1",0.1,60,1000,0.84
"1",0.025,68,1000,0.119
"1",0.05,68,1000,0.332
"1",0.06,68,1000,0.452
"1",0.075,68,1000,0.622
"1",0.08,68,1000,0.705
"1",0.1,68,1000,0.875
"1",0.025,70,1000,0.108
"1",0.05,70,1000,0.347
"1",0.06,70,1000,0.443
"1",0.075,70,1000,0.627
"1",0.08,70,1000,0.742
"1",0.1,70,1000,0.857
"1",0.025,80,1000,0.13
"1",0.05,80,1000,0.35
"1",0.06,80,1000,0.488
"1",0.075,80,1000,0.682
"1",0.08,80,1000,0.732
"1",0.1,80,1000,0.881
"1",0.025,100,1000,0.146
"1",0.05,100,1000,0.397
"1",0.06,100,1000,0.542
"1",0.075,100,1000,0.754
"1",0.08,100,1000,0.789
"1",0.1,100,1000,0.917
