"simulation_num","model","fixed_effect","sample_size","nsims","power"
1,"3.2_age",0.025,80,100,0.44
1,"3.2_age",0.05,80,100,0.96
2,"3.2_age",0.025,80,100,0.48
2,"3.2_age",0.05,80,100,0.97
3,"3.2_age",0.025,80,100,0.45
3,"3.2_age",0.05,80,100,0.99
4,"3.2_age",0.025,80,100,0.41
4,"3.2_age",0.05,80,100,0.96
5,"3.2_age",0.025,80,100,0.44
5,"3.2_age",0.05,80,100,0.96
6,"3.2_age",0.025,80,100,0.43
6,"3.2_age",0.05,80,100,0.97
7,"3.2_age",0.025,80,100,0.49
7,"3.2_age",0.05,80,100,0.98
8,"3.2_age",0.025,80,100,0.4
8,"3.2_age",0.05,80,100,0.98
9,"3.2_age",0.025,80,100,0.46
9,"3.2_age",0.05,80,100,0.92
10,"3.2_age",0.025,80,100,0.38
10,"3.2_age",0.05,80,100,0.97
11,"3.2_age",0.025,80,100,0.54
11,"3.2_age",0.05,80,100,0.94
12,"3.2_age",0.025,80,100,0.47
12,"3.2_age",0.05,80,100,0.99
13,"3.2_age",0.025,80,100,0.56
13,"3.2_age",0.05,80,100,0.97
14,"3.2_age",0.025,80,100,0.5
14,"3.2_age",0.05,80,100,0.97
15,"3.2_age",0.025,80,100,0.45
15,"3.2_age",0.05,80,100,0.98
16,"3.2_age",0.025,80,100,0.36
16,"3.2_age",0.05,80,100,0.97
17,"3.2_age",0.025,80,100,0.45
17,"3.2_age",0.05,80,100,0.97
18,"3.2_age",0.025,80,100,0.41
18,"3.2_age",0.05,80,100,0.95
19,"3.2_age",0.025,80,100,0.48
19,"3.2_age",0.05,80,100,0.95
20,"3.2_age",0.025,80,100,0.45
20,"3.2_age",0.05,80,100,0.96
21,"3.2_age",0.025,80,100,0.44
21,"3.2_age",0.05,80,100,0.95
22,"3.2_age",0.025,80,100,0.5
22,"3.2_age",0.05,80,100,0.97
23,"3.2_age",0.025,80,100,0.51
23,"3.2_age",0.05,80,100,0.93
24,"3.2_age",0.025,80,100,0.41
24,"3.2_age",0.05,80,100,0.95
25,"3.2_age",0.025,80,100,0.51
25,"3.2_age",0.05,80,100,0.97
26,"3.2_age",0.025,80,100,0.48
26,"3.2_age",0.05,80,100,0.98
27,"3.2_age",0.025,80,100,0.52
27,"3.2_age",0.05,80,100,0.95
28,"3.2_age",0.025,80,100,0.45
28,"3.2_age",0.05,80,100,0.94
29,"3.2_age",0.025,80,100,0.44
29,"3.2_age",0.05,80,100,0.94
30,"3.2_age",0.025,80,100,0.37
30,"3.2_age",0.05,80,100,0.96
31,"3.2_age",0.025,80,100,0.4
31,"3.2_age",0.05,80,100,0.96
32,"3.2_age",0.025,80,100,0.41
32,"3.2_age",0.05,80,100,0.97
33,"3.2_age",0.025,80,100,0.42
33,"3.2_age",0.05,80,100,0.95
34,"3.2_age",0.025,80,100,0.44
34,"3.2_age",0.05,80,100,0.99
35,"3.2_age",0.025,80,100,0.49
35,"3.2_age",0.05,80,100,0.95
36,"3.2_age",0.025,80,100,0.48
36,"3.2_age",0.05,80,100,0.96
37,"3.2_age",0.025,80,100,0.39
37,"3.2_age",0.05,80,100,0.94
38,"3.2_age",0.025,80,100,0.45
38,"3.2_age",0.05,80,100,0.97
39,"3.2_age",0.025,80,100,0.44
39,"3.2_age",0.05,80,100,0.98
40,"3.2_age",0.025,80,100,0.4
40,"3.2_age",0.05,80,100,0.97
41,"3.2_age",0.025,80,100,0.48
41,"3.2_age",0.05,80,100,0.97
42,"3.2_age",0.025,80,100,0.39
42,"3.2_age",0.05,80,100,0.99
43,"3.2_age",0.025,80,100,0.46
43,"3.2_age",0.05,80,100,0.96
44,"3.2_age",0.025,80,100,0.49
44,"3.2_age",0.05,80,100,0.97
45,"3.2_age",0.025,80,100,0.46
45,"3.2_age",0.05,80,100,0.95
46,"3.2_age",0.025,80,100,0.42
46,"3.2_age",0.05,80,100,0.97
47,"3.2_age",0.025,80,100,0.51
47,"3.2_age",0.05,80,100,0.99
48,"3.2_age",0.025,80,100,0.46
48,"3.2_age",0.05,80,100,0.98
49,"3.2_age",0.025,80,100,0.47
49,"3.2_age",0.05,80,100,0.95
50,"3.2_age",0.025,80,100,0.44
50,"3.2_age",0.05,80,100,0.97
