"model","fixed_effect","sample_size","nsims","power"
"1",0.025,40,1000,0.084
"1",0.05,40,1000,0.268
"1",0.06,40,1000,0.368
"1",0.075,40,1000,0.542
"1",0.08,40,1000,0.593
"1",0.1,40,1000,0.778
"1",0.025,60,1000,0.115
"1",0.05,60,1000,0.361
"1",0.06,60,1000,0.51
"1",0.075,60,1000,0.725
"1",0.08,60,1000,0.772
"1",0.1,60,1000,0.903
"1",0.025,68,1000,0.124
"1",0.05,68,1000,0.432
"1",0.06,68,1000,0.551
"1",0.075,68,1000,0.747
"1",0.08,68,1000,0.819
"1",0.1,68,1000,0.931
"1",0.025,70,1000,0.151
"1",0.05,70,1000,0.427
"1",0.06,70,1000,0.589
"1",0.075,70,1000,0.767
"1",0.08,70,1000,0.79
"1",0.1,70,1000,0.934
"1",0.025,80,1000,0.149
"1",0.05,80,1000,0.482
"1",0.06,80,1000,0.631
"1",0.075,80,1000,0.81
"1",0.08,80,1000,0.856
"1",0.1,80,1000,0.961
"1",0.025,100,1000,0.187
"1",0.05,100,1000,0.571
"1",0.06,100,1000,0.724
"1",0.075,100,1000,0.875
"1",0.08,100,1000,0.904
"1",0.1,100,1000,0.983
