"model","fixed_effect","sample_size","nsims","power"
"1",0.025,40,1000,0.114
"1",0.05,40,1000,0.37
"1",0.06,40,1000,0.482
"1",0.075,40,1000,0.689
"1",0.08,40,1000,0.739
"1",0.1,40,1000,0.904
"1",0.025,60,1000,0.172
"1",0.05,60,1000,0.509
"1",0.06,60,1000,0.645
"1",0.075,60,1000,0.841
"1",0.08,60,1000,0.883
"1",0.1,60,1000,0.989
"1",0.025,68,1000,0.177
"1",0.05,68,1000,0.56
"1",0.06,68,1000,0.742
"1",0.075,68,1000,0.891
"1",0.08,68,1000,0.932
"1",0.1,68,1000,0.993
"1",0.025,70,1000,0.202
"1",0.05,70,1000,0.573
"1",0.06,70,1000,0.737
"1",0.075,70,1000,0.899
"1",0.08,70,1000,0.94
"1",0.1,70,1000,0.994
"1",0.025,80,1000,0.192
"1",0.05,80,1000,0.641
"1",0.06,80,1000,0.78
"1",0.075,80,1000,0.938
"1",0.08,80,1000,0.958
"1",0.1,80,1000,0.998
"1",0.025,100,1000,0.235
"1",0.05,100,1000,0.72
"1",0.06,100,1000,0.882
"1",0.075,100,1000,0.98
"1",0.08,100,1000,0.982
"1",0.1,100,1000,0.999
